n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.8651976167692812
100,3,0.001,0.4,0.6,0.865402146171901
100,3,0.001,0.4,0.8,0.8647334506677318
100,3,0.001,0.6,0.4,0.8646309852158212
100,3,0.001,0.6,0.6,0.8641151494276904
100,3,0.001,0.6,0.8,0.8643528811368817
100,3,0.001,0.8,0.4,0.862585100943768
100,3,0.001,0.8,0.6,0.8611964998253274
100,3,0.001,0.8,0.8,0.860819095397132
100,3,0.01,0.4,0.4,0.8719653623405946
100,3,0.01,0.4,0.6,0.8728262233557326
100,3,0.01,0.4,0.8,0.8735966645134139
100,3,0.01,0.6,0.4,0.8724472922178232
100,3,0.01,0.6,0.6,0.8721820685654602
100,3,0.01,0.6,0.8,0.8734184404196788
100,3,0.01,0.8,0.4,0.8710515601253354
100,3,0.01,0.8,0.6,0.8719053158535681
100,3,0.01,0.8,0.8,0.8718334873445036
100,3,0.05,0.4,0.4,0.8841125483253324
100,3,0.05,0.4,0.6,0.8852397682528366
100,3,0.05,0.4,0.8,0.8856607447752353
100,3,0.05,0.6,0.4,0.8854852647383886
100,3,0.05,0.6,0.6,0.886200163593591
100,3,0.05,0.6,0.8,0.8863598974122551
100,3,0.05,0.8,0.4,0.8866798843765886
100,3,0.05,0.8,0.6,0.8888819269287916
100,3,0.05,0.8,0.8,0.8877418209905498
100,5,0.001,0.4,0.4,0.8742857852045635
100,5,0.001,0.4,0.6,0.8734203714226745
100,5,0.001,0.4,0.8,0.8745693919161
100,5,0.001,0.6,0.4,0.8749993963521578
100,5,0.001,0.6,0.6,0.8764840310854627
100,5,0.001,0.6,0.8,0.8759575150303288
100,5,0.001,0.8,0.4,0.8737581897310399
100,5,0.001,0.8,0.6,0.8739100364802093
100,5,0.001,0.8,0.8,0.8733746795808216
100,5,0.01,0.4,0.4,0.8795039678816907
100,5,0.01,0.4,0.6,0.8785747623157562
100,5,0.01,0.4,0.8,0.8802057908646695
100,5,0.01,0.6,0.4,0.8798060922306894
100,5,0.01,0.6,0.6,0.8815551822357552
100,5,0.01,0.6,0.8,0.8802613443354715
100,5,0.01,0.8,0.4,0.878808488506009
100,5,0.01,0.8,0.6,0.8795000131786207
100,5,0.01,0.8,0.8,0.879276607076964
100,5,0.05,0.4,0.4,0.885828253980167
100,5,0.05,0.4,0.6,0.8835929946025731
100,5,0.05,0.4,0.8,0.8869492833063953
100,5,0.05,0.6,0.4,0.886653595261772
100,5,0.05,0.6,0.6,0.8861437836669088
100,5,0.05,0.6,0.8,0.8872083794585061
100,5,0.05,0.8,0.4,0.8870308757215852
100,5,0.05,0.8,0.6,0.8874148761611705
100,5,0.05,0.8,0.8,0.8874407006737626
100,7,0.001,0.4,0.4,0.8750742537103401
100,7,0.001,0.4,0.6,0.8742000275634204
100,7,0.001,0.4,0.8,0.8752519540097407
100,7,0.001,0.6,0.4,0.8766520473322451
100,7,0.001,0.6,0.6,0.8776880120117545
100,7,0.001,0.6,0.8,0.8770352682229055
100,7,0.001,0.8,0.4,0.8761379984757474
100,7,0.001,0.8,0.6,0.8755446802151823
100,7,0.001,0.8,0.8,0.8755651685031858
100,7,0.01,0.4,0.4,0.8783434831050082
100,7,0.01,0.4,0.6,0.8785086581304942
100,7,0.01,0.4,0.8,0.8796459261979367
100,7,0.01,0.6,0.4,0.8807819668667136
100,7,0.01,0.6,0.6,0.8811685550066697
100,7,0.01,0.6,0.8,0.8803734586597833
100,7,0.01,0.8,0.4,0.8808411411077369
100,7,0.01,0.8,0.6,0.8798384971190195
100,7,0.01,0.8,0.8,0.878779918819696
100,7,0.05,0.4,0.4,0.8819958016041285
100,7,0.05,0.4,0.6,0.8830391206241395
100,7,0.05,0.4,0.8,0.8842486510899835
100,7,0.05,0.6,0.4,0.8843919462544573
100,7,0.05,0.6,0.6,0.8863837082762632
100,7,0.05,0.6,0.8,0.885840580457937
100,7,0.05,0.8,0.4,0.8864556747141134
100,7,0.05,0.8,0.6,0.88580986422
100,7,0.05,0.8,0.8,0.8818799246718971
300,3,0.001,0.4,0.4,0.8676267498528014
300,3,0.001,0.4,0.6,0.8677133875577738
300,3,0.001,0.4,0.8,0.8673986977288992
300,3,0.001,0.6,0.4,0.866610569298549
300,3,0.001,0.6,0.6,0.8667713585237087
300,3,0.001,0.6,0.8,0.8664572935624895
300,3,0.001,0.8,0.4,0.8657160212716342
300,3,0.001,0.8,0.6,0.864657362560387
300,3,0.001,0.8,0.8,0.8653100661432743
300,3,0.01,0.4,0.4,0.8837590050185975
300,3,0.01,0.4,0.6,0.883816690522204
300,3,0.01,0.4,0.8,0.8848424719250705
300,3,0.01,0.6,0.4,0.883624300527949
300,3,0.01,0.6,0.6,0.8839928194385995
300,3,0.01,0.6,0.8,0.8847052668469682
300,3,0.01,0.8,0.4,0.884398340119206
300,3,0.01,0.8,0.6,0.8838830281254104
300,3,0.01,0.8,0.8,0.8841148333641581
300,3,0.05,0.4,0.4,0.8855231320533543
300,3,0.05,0.4,0.6,0.8848402684150006
300,3,0.05,0.4,0.8,0.8869071943654472
300,3,0.05,0.6,0.4,0.8879542212685962
