threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,0,0.9949367088607595,0.9902606491419091,0.9996127685796098,0.0858974358974359,0.057862154820022244,0.11393271697484955,0.524543717337558,0.5172856563577466,0.5318017783173694,0.9471056721056721,0.8881885511566628,1.0060227930546815,0.543312101910828,0.5302380269405799,0.5563861768810762,0.6868600216178778,0.6809018728306366,0.6928181704051191,0.9141025641025641,0.8860672830251504,0.9421378451799778,20.00339064102564,19.81171426742495,20.19506701462633,6.2371496267445625,6.023206560160011,6.451092693329114
0.05,1,0.9949367088607595,0.9902606491419091,0.9996127685796098,0.08292682926829267,0.054198354068951876,0.11165530446763347,0.6765428026890966,0.6699525598921043,0.6831330454860889,0.8990476190476191,0.7831411306639041,1.014954107431334,0.6833333333333333,0.6740129963731575,0.6926536702935092,0.8053693973950866,0.8007155336715535,0.8100232611186198,0.9170731707317072,0.8883446955323664,0.9458016459310481,20.00339064102564,19.81171426742495,20.19506701462633,6.2371496267445625,6.023206560160011,6.451092693329114
0.05,2,0.9949367088607595,0.9902606491419091,0.9996127685796098,0.04347826086956521,0.01415456700402987,0.07280195473510055,0.7813806862078765,0.7764055915127537,0.7863557809029993,0.7395833333333333,0.44298076490770355,1.036185901758963,0.780392156862745,0.7744780204894164,0.7863062932360736,0.8752902937842618,0.8722495572696982,0.8783310302988254,0.9565217391304349,0.9271980452648996,0.9858454329959703,20.00339064102564,19.81171426742495,20.19506701462633,6.2371496267445625,6.023206560160011,6.451092693329114
0.05,3,0.9949367088607595,0.9902606491419091,0.9996127685796098,0.10714285714285714,0.04228576326684043,0.17199995101887383,0.862954580871832,0.8544276675735515,0.8714814941701124,0.7925925925925925,0.538370564798196,1.046814620386989,0.8612903225806452,0.8520813023718089,0.8704993427894815,0.9241988610950058,0.9194930067939807,0.9289047153960309,0.8928571428571427,0.828000048981126,0.9577142367331594,20.00339064102564,19.81171426742495,20.19506701462633,6.2371496267445625,6.023206560160011,6.451092693329114
0.1,0,0.9746835443037976,0.9704149053233715,0.9789521832842236,0.2948717948717948,0.26857379150775684,0.3211697982358328,0.583578210979185,0.5750121908718749,0.5921442310864952,0.9198914830810987,0.9077419778921146,0.9320409882700827,0.6369426751592357,0.6246038493054624,0.6492815010130091,0.729966384468469,0.723504465608411,0.7364283033285269,0.7051282051282051,0.6788302017641671,0.731426208492243,17.10591304347826,17.01272273744085,17.19910334951567,4.436296037296036,4.357162512280045,4.515429562312027
0.1,1,0.9746835443037976,0.9704149053233715,0.9789521832842236,0.27804878048780496,0.25052287135535783,0.3055746896202521,0.7224676256574786,0.7149151262158361,0.7300201250991211,0.8501290376290376,0.8262796638244113,0.8739784114336638,0.7366666666666667,0.7272619810464139,0.7460713522869195,0.8297874847536073,0.8246195280514398,0.8349554414557748,0.7219512195121951,0.694425310379748,0.7494771286446422,17.10591304347826,17.01272273744085,17.19910334951567,4.436296037296036,4.357162512280045,4.515429562312027
0.1,2,0.9746835443037976,0.9704149053233715,0.9789521832842236,0.24347826086956523,0.19665207689206107,0.2903044448470694,0.8158827083901856,0.8068624970032438,0.8249029197771275,0.7311399711399711,0.6849992096572007,0.7772807326227414,0.8098039215686275,0.8003366840797415,0.8192711590575135,0.8881705656243982,0.8833031882776053,0.8930379429711911,0.7565217391304347,0.7096955551529306,0.8033479231079389,17.10591304347826,17.01272273744085,17.19910334951567,4.436296037296036,4.357162512280045,4.515429562312027
0.1,3,0.9746835443037976,0.9704149053233715,0.9789521832842236,0.3857142857142858,0.33634996936947953,0.43507860205909205,0.8996439971337372,0.8924717422005843,0.9068162520668901,0.728968253968254,0.6900215688025886,0.7679149391339195,0.886021505376344,0.8785903179695991,0.893452692783089,0.9356221173786873,0.9316241488612866,0.9396200858960879,0.6142857142857142,0.5649213979409079,0.6636500306305205,17.10591304347826,17.01272273744085,17.19910334951567,4.436296037296036,4.357162512280045,4.515429562312027
0.15,0,0.959493670886076,0.9523508716808207,0.9666364700913312,0.4115384615384615,0.38930358344258176,0.4337733396343413,0.6230625122478897,0.6145147577689212,0.6316102667268582,0.9097681704260652,0.8965557676687184,0.922980573183412,0.6872611464968152,0.67685983055458,0.6976624624390505,0.7554315464765734,0.7490883810668991,0.7617747118862477,0.5884615384615384,0.5662266603656586,0.6106964165574181,17.514424458874455,17.39428289477353,17.63456602297538,4.107554370200686,3.9427145462761244,4.272394194125247
0.15,1,0.959493670886076,0.9523508716808207,0.9666364700913312,0.41463414634146334,0.38385924436014635,0.44540904832278033,0.7597489914519778,0.7507639312623149,0.7687340516416408,0.8426113528415318,0.8229675163696185,0.862255189313445,0.7733333333333332,0.7640981153886037,0.7825685512780627,0.8479227495866132,0.8426124799804462,0.8532330191927802,0.5853658536585366,0.5545909516772196,0.6161407556398535,17.514424458874455,17.39428289477353,17.63456602297538,4.107554370200686,3.9427145462761244,4.272394194125247
