threshold,mask_length_mean,mask_length_std,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,2.0,0.0,0.9949367088607595,0.9902606491419091,0.9996127685796098,0.04347826086956521,0.01415456700402987,0.07280195473510055,0.7813806862078765,0.7764055915127537,0.7863557809029993,0.7395833333333333,0.44298076490770355,1.036185901758963,0.780392156862745,0.7744780204894164,0.7863062932360736,0.8752902937842618,0.8722495572696982,0.8783310302988254,0.9565217391304349,0.9271980452648996,0.9858454329959703,20.00339064102564,19.81171426742495,20.19506701462633,6.2371496267445625,6.023206560160011,6.451092693329114
0.1,2.0,0.0,0.9746835443037976,0.9704149053233715,0.9789521832842236,0.24347826086956523,0.19665207689206107,0.2903044448470694,0.8158827083901856,0.8068624970032438,0.8249029197771275,0.7311399711399711,0.6849992096572007,0.7772807326227414,0.8098039215686275,0.8003366840797415,0.8192711590575135,0.8881705656243982,0.8833031882776053,0.8930379429711911,0.7565217391304347,0.7096955551529306,0.8033479231079389,17.10591304347826,17.01272273744085,17.19910334951567,4.436296037296036,4.357162512280045,4.515429562312027
0.15,2.0,0.0,0.959493670886076,0.9523508716808207,0.9666364700913312,0.40869565217391307,0.3786478074422919,0.43874349690553427,0.8479803662329394,0.8418340562979868,0.854126676167892,0.7482400932400932,0.7208225721184363,0.7756576143617502,0.8352941176470587,0.8288493369496444,0.8417388983444731,0.900240060256845,0.8964043885503064,0.9040757319633836,0.5913043478260869,0.5612565030944656,0.6213521925577081,17.514424458874455,17.39428289477353,17.63456602297538,4.107554370200686,3.9427145462761244,4.272394194125247
0.2,2.0,0.0,0.9443037974683544,0.9328498371503888,0.9557577577863199,0.5391304347826087,0.49714529461450574,0.5811155749507116,0.8758836592260115,0.8667232665304475,0.8850440519215755,0.7422130694383017,0.7114250674589728,0.7730010714176305,0.8529411764705884,0.8463289709911049,0.8595533819500719,0.9086374459570393,0.9045100938379933,0.9127647980760853,0.4608695652173913,0.41888442504928836,0.5028547053854943,17.651416666666666,17.407366346548,17.895466986785333,3.684140237079184,3.518123264301258,3.85015720985711
0.25,2.0,0.0,0.911392405063291,0.9028551271024389,0.9199296830241431,0.7347826086956522,0.6947635547547439,0.7748016626365604,0.9221083262400163,0.9112457643754103,0.9329708881046223,0.7073311253963427,0.6849081790623143,0.7297540717303711,0.8715686274509805,0.8603814870442643,0.8827557678576967,0.9166336860448743,0.909508152299134,0.9237592197906146,0.26521739130434774,0.22519833736343955,0.30523644524525595,17.82820534670008,17.59943362661852,18.05697706678164,3.2906838466874304,3.0440366579582854,3.5373310354165755
0.3,2.0,0.0,0.8848101265822785,0.8739691281085852,0.8956511250559719,0.817391304347826,0.7928573418602102,0.8419252668354419,0.9434375835727675,0.9363890855478348,0.9504860815977002,0.6748432487053176,0.6546176512247373,0.695068846185898,0.869607843137255,0.8608295333314677,0.8783861529430423,0.9130891856646091,0.906945071527752,0.9192332998014662,0.1826086956521739,0.15807473316455803,0.2071426581397898,17.935282236842106,17.65047863637777,18.220085837306442,2.851754145518179,2.4457539206774954,3.2577543703588625
0.35,2.0,0.0,0.8645569620253164,0.8559664917868423,0.8731474322637905,0.8521739130434783,0.8361126644439488,0.8682351616430078,0.952613711186449,0.9476778832194893,0.9575495391534087,0.6473387096774192,0.6319180501703666,0.6627593691844719,0.8617647058823531,0.8540465313232222,0.869482880441484,0.9064073834080737,0.9009209033687205,0.9118938634474268,0.14782608695652172,0.13176483835699215,0.16388733555605128,17.904803930168562,17.528544320998286,18.281063539338838,1.59935080688992,1.2051693476313894,1.9935322661484507
0.4,2.0,0.0,0.8341772151898734,0.8251725113959557,0.8431819189837911,0.8739130434782607,0.856257841824191,0.8915682451323305,0.9578400925587627,0.9519297861470959,0.9637503989704295,0.6057542335115865,0.589092436221984,0.622416030801189,0.8431372549019608,0.8332189466827356,0.853055563121186,0.8917154999130071,0.884641756124109,0.8987892437019053,0.12608695652173912,0.10843175486766937,0.14374215817580888,17.52275977698772,17.186901558389742,17.858617995585696,0.1052119648569166,-0.43654267039412514,0.6469666001079584
0.45,1.7,0.45825756949558405,0.7936708860759494,0.7755354489058371,0.8118063232460616,0.893849416755037,0.8715557570899201,0.916143076420154,0.9530225853034286,0.936726706921288,0.9693184636855693,0.6006247581247581,0.5661112839580152,0.635138232291501,0.8200980392156861,0.8078743977573195,0.8323216806740528,0.865931333847741,0.8504407927425927,0.8814218749528894,0.10615058324496289,0.08385692357984592,0.12844424291007986,17.545322455322456,16.800958133661137,18.289686776983775,-2.135332645311678,-2.9698808689316243,-1.3007844216917317
0.5,1.0,0.0,0.7544303797468356,0.7422068579257424,0.7666539015679288,0.8951219512195122,0.8748912774058697,0.9153526250331547,0.9329886985979968,0.9206646538493873,0.9453127433466063,0.6544188191269783,0.6422835943245754,0.6665540439293812,0.8025,0.7923482590489099,0.81265174095109,0.8341047512701751,0.8252433769273767,0.8429661256129736,0.10487804878048781,0.08464737496684534,0.1251087225941303,16.16107435064935,15.257524542422534,17.064624158876168,-4.153926959374556,-4.847094950394807,-3.4607589683543054
0.55,1.0,0.0,0.7303797468354432,0.726005693488435,0.7347538001824513,0.9268292682926831,0.9103793912461633,0.9432791453392029,0.9508063171669547,0.9401977588498143,0.9614148754840952,0.6407745127158566,0.6360445043082761,0.6455045211234371,0.7975000000000001,0.7918446070930045,0.8031553929069957,0.8260753828548104,0.8217193875370896,0.8304313781725312,0.07317073170731707,0.05672085466079725,0.08962060875383689,14.995492063492065,14.017392715647645,15.973591411336486,-6.002639140955838,-6.7750655435892275,-5.230212738322449
0.6,1.0,0.0,0.7075949367088608,0.6951864796977314,0.7200033937199901,0.9536585365853659,0.9363080097629392,0.9710090634077927,0.9676081050250362,0.9563652059163877,0.9788510041336848,0.6288690608946721,0.6213412992330488,0.6363968225562954,0.7916666666666667,0.7860462920091058,0.7972870413242277,0.8171664940267126,0.8110663931257863,0.8232665949276389,0.046341463414634146,0.028990936592207348,0.06369199023706094,13.92197619047619,13.462140826002116,14.381811554950264,-7.620606298596544,-8.199454393805446,-7.0417582033876425
0.65,1.0,0.0,0.6708860759493671,0.657387454262242,0.6843846976364922,0.9658536585365853,0.9511404412175726,0.9805668758555981,0.9744238414496609,0.9637208980514911,0.9851267848478307,0.6038775301374073,0.5929832714585548,0.6147717888162598,0.7716666666666667,0.7610770694087771,0.7822562639245564,0.7944985363776773,0.7839739387012625,0.8050231340540921,0.03414634146341464,0.019433124144401924,0.04885955878242735,14.114616666666668,13.12175982376935,15.107473509563986,-9.466646696769338,-10.187175105413607,-8.74611828812507
