threshold,mask_length,sensitivity_mean,sensitivity_std,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_std,specificity_ci_lower,specificity_ci_upper,mean_lead_time_mean,mean_lead_time_std,mean_lead_time_ci_lower,mean_lead_time_ci_upper,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,n_early_mean,n_early_std,n_early_ci_lower,n_early_ci_upper,n_missed_mean,n_missed_std,n_missed_ci_lower,n_missed_ci_upper,n_false_alarm_mean,n_false_alarm_std,n_false_alarm_ci_lower,n_false_alarm_ci_upper
0.3,0,0.9201680672268908,0.005942073791483624,0.9159173637043657,0.9244187707494159,0.8134980988593155,0.007575461851593738,0.8080789399078605,0.8189172578107704,33.282754202245414,0.6191542648217326,32.839837923043994,33.72567048144683,0.1865019011406844,0.007575461851593715,0.1810827421892295,0.1919210600921393,31.9,1.286683937707919,30.97956175935911,32.82043824064089,9.5,0.7071067811865476,8.994166280819515,10.005833719180485,98.1,3.9846929339382946,95.24952239153473,100.95047760846526
0.3,1,0.9201680672268908,0.005942073791483624,0.9159173637043657,0.9244187707494159,0.8423280423280424,0.0073990042198952555,0.8370351135620342,0.8476209710940505,33.282754202245414,0.6191542648217326,32.839837923043994,33.72567048144683,0.15767195767195769,0.007399004219895248,0.15237902890594954,0.16296488643796583,31.9,1.286683937707919,30.97956175935911,32.82043824064089,9.5,0.7071067811865476,8.994166280819515,10.005833719180485,59.6,2.796823595120404,57.59927292644892,61.600727073551084
0.3,2,0.9201680672268908,0.005942073791483624,0.9159173637043657,0.9244187707494159,0.8755244755244755,0.0049994430278618215,0.8719480894284877,0.8791008616204634,33.282754202245414,0.6191542648217326,32.839837923043994,33.72567048144683,0.12447552447552448,0.0049994430278618215,0.12089913837953664,0.12805191057151233,31.9,1.286683937707919,30.97956175935911,32.82043824064089,9.5,0.7071067811865476,8.994166280819515,10.005833719180485,35.6,1.4298407059684815,34.57715357654748,36.62284642345252
0.3,3,0.9201680672268908,0.005942073791483624,0.9159173637043657,0.9244187707494159,0.8847926267281107,0.006144393241167454,0.880397192590042,0.8891880608661793,33.282754202245414,0.6191542648217326,32.839837923043994,33.72567048144683,0.11520737327188939,0.006144393241167434,0.11081193913382079,0.11960280740995799,31.9,1.286683937707919,30.97956175935911,32.82043824064089,9.5,0.7071067811865476,8.994166280819515,10.005833719180485,25.0,1.3333333333333333,24.046190792039113,25.953809207960887
0.4,0,0.9117647058823529,0.005942073791483571,0.9075140023598278,0.916015409404878,0.8342205323193916,0.007646693601520087,0.8287504172437026,0.8396906473950807,33.696990061230586,0.7799275285973518,33.139063517491834,34.25491660496934,0.16577946768060836,0.007646693601520086,0.16030935260491927,0.17124958275629745,29.7,1.5670212364724212,28.579020536686762,30.820979463313236,10.5,0.7071067811865476,9.994166280819515,11.005833719180485,87.2,4.022160834399561,84.32271947018755,90.07728052981246
0.4,1,0.9117647058823529,0.005942073791483571,0.9075140023598278,0.916015409404878,0.8571428571428571,0.006599043010183318,0.852422186152725,0.8618635281329892,33.696990061230586,0.7799275285973518,33.139063517491834,34.25491660496934,0.14285714285714285,0.006599043010183318,0.13813647186701078,0.14757781384727492,29.7,1.5670212364724212,28.579020536686762,30.820979463313236,10.5,0.7071067811865476,9.994166280819515,11.005833719180485,54.0,2.494438257849294,52.215586365730076,55.784413634269924
0.4,2,0.9117647058823529,0.005942073791483571,0.9075140023598278,0.916015409404878,0.8905594405594407,0.0037040206485013344,0.8879097438086774,0.893209137310204,33.696990061230586,0.7799275285973518,33.139063517491834,34.25491660496934,0.10944055944055944,0.0037040206485013305,0.10679086268979608,0.1120902561913228,29.7,1.5670212364724212,28.579020536686762,30.820979463313236,10.5,0.7071067811865476,9.994166280819515,11.005833719180485,31.3,1.0593499054713802,30.542186729281678,32.05781327071832
0.4,3,0.9117647058823529,0.005942073791483571,0.9075140023598278,0.916015409404878,0.9036866359447003,0.007022506574907803,0.8986630373691157,0.908710234520285,33.696990061230586,0.7799275285973518,33.139063517491834,34.25491660496934,0.09631336405529956,0.007022506574907811,0.09128976547971486,0.10133696263088425,29.7,1.5670212364724212,28.579020536686762,30.820979463313236,10.5,0.7071067811865476,9.994166280819515,11.005833719180485,20.9,1.5238839267549946,19.80987910909812,21.990120890901878
0.5,0,0.9,0.014528070005478903,0.8896072447911554,0.9103927552088447,0.8539923954372624,0.013907089200856997,0.8440438631354793,0.8639409277390454,34.02270197395198,0.8580136602275004,33.40891597669107,34.636487971212894,0.14600760456273765,0.013907089200856987,0.13605907226095454,0.15595613686452076,27.5,1.509230856356236,26.420361284201547,28.579638715798453,11.9,1.7288403306519922,10.66326213014749,13.13673786985251,76.8,7.315128919650775,71.56707200926209,82.0329279907379
0.5,1,0.9,0.014528070005478903,0.8896072447911554,0.9103927552088447,0.8722222222222221,0.011296430532557264,0.8641412426279395,0.8803032018165048,34.02270197395198,0.8580136602275004,33.40891597669107,34.636487971212894,0.1277777777777778,0.011296430532557232,0.1196967981834951,0.1358587573720605,27.5,1.509230856356236,26.420361284201547,28.579638715798453,11.9,1.7288403306519922,10.66326213014749,13.13673786985251,48.3,4.270050741306634,45.24538971336114,51.35461028663885
0.5,2,0.9,0.014528070005478903,0.8896072447911554,0.9103927552088447,0.9,0.008108404256841993,0.8941995970184662,0.9058004029815339,34.02270197395198,0.8580136602275004,33.40891597669107,34.636487971212894,0.1,0.008108404256841999,0.09419959701846614,0.10580040298153387,27.5,1.509230856356236,26.420361284201547,28.579638715798453,11.9,1.7288403306519922,10.66326213014749,13.13673786985251,28.6,2.3190036174568114,26.94108474728132,30.258915252718683
0.5,3,0.9,0.014528070005478903,0.8896072447911554,0.9103927552088447,0.9184331797235021,0.013747865336568018,0.9085985493126335,0.9282678101343708,34.02270197395198,0.8580136602275004,33.40891597669107,34.636487971212894,0.0815668202764977,0.013747865336568015,0.07173218986562906,0.09140145068736634,27.5,1.509230856356236,26.420361284201547,28.579638715798453,11.9,1.7288403306519922,10.66326213014749,13.13673786985251,17.7,2.9832867780352594,15.565885200841503,19.834114799158495
0.6,0,0.8638655462184873,0.015746184114907774,0.8526014046692024,0.8751296877677722,0.8882129277566542,0.012794110249221698,0.8790605726341234,0.8973652828791849,33.31428595317726,0.9994892167309435,32.599294439545574,34.02927746680895,0.11178707224334601,0.012794110249221686,0.10263471712081522,0.1209394273658768,25.0,0.9428090415820634,24.325555041092688,25.674444958907312,16.2,1.8737959096740262,14.859567155635101,17.540432844364897,58.8,6.729701991090608,53.9858612055488,63.61413879445119
0.6,1,0.8638655462184873,0.015746184114907774,0.8526014046692024,0.8751296877677722,0.9039682539682538,0.013434593050168014,0.8943577250509106,0.9135787828855969,33.31428595317726,0.9994892167309435,32.599294439545574,34.02927746680895,0.09603174603174602,0.013434593050168009,0.08642121711440284,0.1056422749490892,25.0,0.9428090415820634,24.325555041092688,25.674444958907312,16.2,1.8737959096740262,14.859567155635101,17.540432844364897,36.3,5.078276172963508,32.66722006924427,39.93277993075572
0.6,2,0.8638655462184873,0.015746184114907774,0.8526014046692024,0.8751296877677722,0.9241258741258742,0.0117767534536775,0.9157012922128721,0.9325504560388763,33.31428595317726,0.9994892167309435,32.599294439545574,34.02927746680895,0.07587412587412587,0.011776753453677508,0.06744954396112379,0.08429870778712795,25.0,0.9428090415820634,24.325555041092688,25.674444958907312,16.2,1.8737959096740262,14.859567155635101,17.540432844364897,21.7,3.3681514877517675,19.290569572881402,24.109430427118596
0.6,3,0.8638655462184873,0.015746184114907774,0.8526014046692024,0.8751296877677722,0.9433179723502304,0.01150536608975362,0.9350875292622044,0.9515484154382564,33.31428595317726,0.9994892167309435,32.599294439545574,34.02927746680895,0.05668202764976958,0.011505366089753612,0.04845158456174363,0.06491247073779553,25.0,0.9428090415820634,24.325555041092688,25.674444958907312,16.2,1.8737959096740262,14.859567155635101,17.540432844364897,12.3,2.496664441476534,10.51399384989837,14.086006150101632
0.7,0,0.8386554621848739,0.006628660821400135,0.8339136038889481,0.8433973204807996,0.9228136882129278,0.007562197155982912,0.9174040182530837,0.9282233581727718,30.06398537549407,2.0268620792456793,28.614055589655614,31.513915161332527,0.07718631178707225,0.0075621971559829155,0.07177664182722815,0.08259598174691635,22.5,1.0801234497346435,21.727326230931464,23.272673769068536,19.2,0.7888106377466155,18.635718862784834,19.764281137215164,40.6,3.9777157040470126,37.75451360112201,43.445486398877996
0.7,1,0.8386554621848739,0.006628660821400135,0.8339136038889481,0.8433973204807996,0.9351851851851851,0.006510063077704324,0.9305281666042446,0.9398422037661256,30.06398537549407,2.0268620792456793,28.614055589655614,31.513915161332527,0.06481481481481481,0.00651006307770432,0.060157796233874385,0.06947183339575523,22.5,1.0801234497346435,21.727326230931464,23.272673769068536,19.2,0.7888106377466155,18.635718862784834,19.764281137215164,24.5,2.4608038433722332,22.73964697640452,26.26035302359548
0.7,2,0.8386554621848739,0.006628660821400135,0.8339136038889481,0.8433973204807996,0.9503496503496504,0.008041113431543286,0.9445973843247024,0.9561019163745983,30.06398537549407,2.0268620792456793,28.614055589655614,31.513915161332527,0.04965034965034965,0.008041113431543281,0.04389808362540169,0.05540261567529761,22.5,1.0801234497346435,21.727326230931464,23.272673769068536,19.2,0.7888106377466155,18.635718862784834,19.764281137215164,14.2,2.2997584414213783,12.554851916864884,15.845148083135115
0.7,3,0.8386554621848739,0.006628660821400135,0.8339136038889481,0.8433973204807996,0.9649769585253456,0.006937996799162041,0.9600138146014626,0.9699401024492286,30.06398537549407,2.0268620792456793,28.614055589655614,31.513915161332527,0.035023041474654376,0.006937996799162039,0.030059897550771444,0.03998618539853731,22.5,1.0801234497346435,21.727326230931464,23.272673769068536,19.2,0.7888106377466155,18.635718862784834,19.764281137215164,7.6,1.505545305418162,6.522997768517404,8.677002231482595
