threshold,mask_length,sensitivity_mean,sensitivity_std,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_std,specificity_ci_lower,specificity_ci_upper,mean_lead_time_mean,mean_lead_time_std,mean_lead_time_ci_lower,mean_lead_time_ci_upper,median_lead_time_mean,median_lead_time_std,median_lead_time_ci_lower,median_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_std,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper,median_net_lead_time_mean,median_net_lead_time_std,median_net_lead_time_ci_lower,median_net_lead_time_ci_upper,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,n_early_mean,n_early_std,n_early_ci_lower,n_early_ci_upper,n_at_conv_mean,n_at_conv_std,n_at_conv_ci_lower,n_at_conv_ci_upper,n_late_mean,n_late_std,n_late_ci_lower,n_late_ci_upper,n_missed_mean,n_missed_std,n_missed_ci_lower,n_missed_ci_upper,n_false_alarm_mean,n_false_alarm_std,n_false_alarm_ci_lower,n_false_alarm_ci_upper
0.05,0,1.0,0.0,1.0,1.0,0.053846153846153835,0.01687898945139444,0.04177165217629282,0.06592065551601485,19.59084556980057,0.22293458000157784,19.431367778416774,19.750323361184368,14.025,0.22366890212494417,13.864996906214046,14.185003093785955,6.180708860759493,0.37337965526255396,5.913609145818479,6.447808575700507,0.0,0.0,0.0,0.0,0.9461538461538461,0.01687898945139444,0.9340793444839851,0.9582283478237071,25.3,1.1595018087284057,24.470542373640658,26.129457626359343,53.4,0.9660917830792958,52.70889957117271,54.09110042882729,0.3,0.48304589153964794,-0.04555021441364382,0.6455502144136438,0.0,0.0,0.0,0.0,73.8,1.3165611772087666,72.85818886975083,74.74181113024916
0.05,1,1.0,0.0,1.0,1.0,0.046341463414634174,0.013845029565793811,0.036437325901375536,0.05624560092789281,19.59084556980057,0.22293458000157784,19.431367778416774,19.750323361184368,14.025,0.22366890212494417,13.864996906214046,14.185003093785955,6.180708860759493,0.37337965526255396,5.913609145818479,6.447808575700507,0.0,0.0,0.0,0.0,0.9536585365853659,0.013845029565793811,0.9437543990721073,0.9635626740986245,25.3,1.1595018087284057,24.470542373640658,26.129457626359343,53.4,0.9660917830792958,52.70889957117271,54.09110042882729,0.3,0.48304589153964794,-0.04555021441364382,0.6455502144136438,0.0,0.0,0.0,0.0,39.1,0.5676462121975466,38.6939303619564,39.506069638043606
0.05,2,1.0,0.0,1.0,1.0,0.004347826086956519,0.013749033305079903,-0.0054876398382530615,0.0141832920121661,19.59084556980057,0.22293458000157784,19.431367778416774,19.750323361184368,14.025,0.22366890212494417,13.864996906214046,14.185003093785955,6.180708860759493,0.37337965526255396,5.913609145818479,6.447808575700507,0.0,0.0,0.0,0.0,0.9956521739130434,0.0137490333050799,0.9858167079878338,1.005487639838253,25.3,1.1595018087284057,24.470542373640658,26.129457626359343,53.4,0.9660917830792958,52.70889957117271,54.09110042882729,0.3,0.48304589153964794,-0.04555021441364382,0.6455502144136438,0.0,0.0,0.0,0.0,22.9,0.3162277660168379,22.673784283720178,23.12621571627982
0.05,3,1.0,0.0,1.0,1.0,0.00714285714285714,0.02258769757263127,-0.009015408305701455,0.023301122591415736,19.59084556980057,0.22293458000157784,19.431367778416774,19.750323361184368,14.025,0.22366890212494417,13.864996906214046,14.185003093785955,6.180708860759493,0.37337965526255396,5.913609145818479,6.447808575700507,0.0,0.0,0.0,0.0,0.9928571428571429,0.022587697572631273,0.9766988774085843,1.0090154083057015,25.3,1.1595018087284057,24.470542373640658,26.129457626359343,53.4,0.9660917830792958,52.70889957117271,54.09110042882729,0.3,0.48304589153964794,-0.04555021441364382,0.6455502144136438,0.0,0.0,0.0,0.0,13.9,0.31622776601683794,13.67378428372018,14.126215716279821
0.1,0,0.9759493670886077,0.004002883114137211,0.9730858770091163,0.9788128571680991,0.2,0.02195766252763271,0.18429243447188468,0.21570756552811535,19.147608695652174,0.16430094799570458,19.03007487784592,19.26514251345843,14.26,0.0,14.26,14.26,5.360064269064269,0.08879923854973666,5.296541120522779,5.423587417605759,0.0,0.0,0.0,0.0,0.8,0.02195766252763271,0.7842924344718847,0.8157075655281154,23.0,0.0,23.0,23.0,52.2,0.6324555320336758,51.74756856744036,52.652431432559645,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,62.4,1.7126976771553506,61.174809888807005,63.62519011119299
0.1,1,0.9759493670886077,0.004002883114137211,0.9730858770091163,0.9788128571680991,0.2170731707317073,0.021355976482217386,0.201796025471406,0.2323503159920086,19.147608695652174,0.16430094799570458,19.03007487784592,19.26514251345843,14.26,0.0,14.26,14.26,5.360064269064269,0.08879923854973666,5.296541120522779,5.423587417605759,0.0,0.0,0.0,0.0,0.7829268292682927,0.021355976482217386,0.7676496840079914,0.798203974528594,23.0,0.0,23.0,23.0,52.2,0.6324555320336758,51.74756856744036,52.652431432559645,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,32.1,0.8755950357709131,31.47363704432765,32.72636295567236
0.1,2,0.9759493670886077,0.004002883114137211,0.9730858770091163,0.9788128571680991,0.19130434782608696,0.046737726077093034,0.15787019270747324,0.22473850294470069,19.147608695652174,0.16430094799570458,19.03007487784592,19.26514251345843,14.26,0.0,14.26,14.26,5.360064269064269,0.08879923854973666,5.296541120522779,5.423587417605759,0.0,0.0,0.0,0.0,0.808695652173913,0.046737726077093034,0.7752614970552993,0.8421298072925267,23.0,0.0,23.0,23.0,52.2,0.6324555320336758,51.74756856744036,52.652431432559645,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,18.6,1.07496769977314,17.831014432271886,19.368985567728117
0.1,3,0.9759493670886077,0.004002883114137211,0.9730858770091163,0.9788128571680991,0.42857142857142855,0.04761904761904763,0.39450681400139687,0.46263604314146023,19.147608695652174,0.16430094799570458,19.03007487784592,19.26514251345843,14.26,0.0,14.26,14.26,5.360064269064269,0.08879923854973666,5.296541120522779,5.423587417605759,0.0,0.0,0.0,0.0,0.5714285714285714,0.04761904761904764,0.5373639568585398,0.605493185998603,23.0,0.0,23.0,23.0,52.2,0.6324555320336758,51.74756856744036,52.652431432559645,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,1.9,0.31622776601683794,1.6737842837201795,2.1262157162798205,8.0,0.6666666666666666,7.523095396019557,8.476904603980444
0.15,0,0.9734177215189874,0.004002883114137175,0.970554231439496,0.9762812115984788,0.3179487179487179,0.03616101846377125,0.2920806836637264,0.34381675223370933,17.59278809523809,0.19862337337469602,17.450701493407312,17.73487469706887,14.318999999999997,0.1865743819499349,14.185532727394904,14.452467272605091,3.7783257006151745,0.48803430429154093,3.429206990689632,4.127444410540717,0.0,0.0,0.0,0.0,0.6820512820512821,0.03616101846377125,0.6561832477662906,0.7079193163362736,21.1,0.7378647873726218,20.57216332868042,21.62783667131958,52.7,0.6749485577105528,52.21717088806682,53.18282911193319,3.1,0.5676462121975467,2.6939303619563955,3.5060696380436047,2.1,0.31622776601683794,1.8737842837201797,2.3262157162798207,53.2,2.820559440174158,51.182293325770665,55.21770667422934
0.15,1,0.9734177215189874,0.004002883114137175,0.970554231439496,0.9762812115984788,0.37073170731707317,0.0485087280981343,0.33603065367221957,0.40543276096192676,17.59278809523809,0.19862337337469602,17.450701493407312,17.73487469706887,14.318999999999997,0.1865743819499349,14.185532727394904,14.452467272605091,3.7783257006151745,0.48803430429154093,3.429206990689632,4.127444410540717,0.0,0.0,0.0,0.0,0.6292682926829267,0.04850872809813431,0.5945672390380731,0.6639693463277804,21.1,0.7378647873726218,20.57216332868042,21.62783667131958,52.7,0.6749485577105528,52.21717088806682,53.18282911193319,3.1,0.5676462121975467,2.6939303619563955,3.5060696380436047,2.1,0.31622776601683794,1.8737842837201797,2.3262157162798207,25.8,1.9888578520235063,24.377256800561003,27.222743199438998
