threshold,mask_length_mean,mask_length_std,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,4.1,0.3,0.9680672268907562,0.9583327961501187,0.9778016576313937,0.26315789473684215,0.16096856954400357,0.3653472199296807,0.5043993764368833,0.46338802440573207,0.5454107284680345,0.9057284447507337,0.8761671928383925,0.9352896966630748,0.5673605913888167,0.5092437326690124,0.625477450108621,0.6611500463930181,0.6282968515592495,0.6940032412267867,0.7368421052631579,0.6346527800703192,0.8390314304559965,42.88376127712405,42.27826027308692,43.48926228116118,27.08219358179832,25.967715751441816,28.196671412154828
0.1,3.5,0.5,0.946218487394958,0.943114212455553,0.9493227623343629,0.6960232121522444,0.6672908970555149,0.7247555272489739,0.6652598343326752,0.6438465364286251,0.6866731322367253,0.9526178870583791,0.9463455071690606,0.9588902669476976,0.794066683612947,0.7794377599321379,0.808695607293756,0.7808523962775674,0.766309471490562,0.7953953210645728,0.30397678784775556,0.2752444727510261,0.332709102944485,39.21373595987433,37.516371033557846,40.91110088619081,17.904457648546146,15.92649563601316,19.882419661079133
0.15,3.0,0.0,0.9411764705882353,0.9383426682398852,0.9440102729365853,0.8175115207373272,0.7997793348444189,0.8352437066302356,0.7396395638355274,0.7209818336280497,0.7582972940430052,0.9620341270955871,0.9603470358586277,0.9637212183325465,0.8613095238095237,0.8501244710296603,0.8724945765893872,0.8280784265485028,0.816662017700934,0.8394948353960716,0.1824884792626728,0.16475629336976444,0.20022066515558118,34.13691017126149,33.342543310406356,34.931277032116625,11.549110324056674,10.773355223134795,12.324865424978553
0.2,3.0,0.0,0.9369747899159664,0.9327240863934413,0.9412254934384915,0.8599078341013826,0.8538491462568086,0.8659665219459566,0.7858965794654061,0.7789416844936355,0.7928514744371767,0.9613828582745351,0.9590256545017368,0.9637400620473333,0.887202380952381,0.883806284757485,0.890598477147277,0.8547616924653546,0.8510663907170812,0.858456994213628,0.1400921658986175,0.1340334780540436,0.14615085374319142,33.169370243930906,32.60558247058065,33.73315801728116,9.914223824148824,9.581891355651958,10.246556292645689
0.25,3.0,0.0,0.9277310924369748,0.9226618326884074,0.9328003521855422,0.8741935483870968,0.8687990594492051,0.8795880373249886,0.8018587736327228,0.7953039396072697,0.8084136076581759,0.9566575188248739,0.9538584095745052,0.9594566280752427,0.8931547619047618,0.8900694921332114,0.8962400316763123,0.8601661842023102,0.8565932975987658,0.8637390708058545,0.12580645161290324,0.1204119626750115,0.13120094055079498,32.87139425292844,32.47989348125983,33.26289502459705,9.423245328206797,9.201169859822095,9.645320796591498
0.3,3.0,0.0,0.9201680672268908,0.9159173637043657,0.9244187707494159,0.8847926267281107,0.880397192590042,0.8891880608661793,0.8142117218772326,0.8087974930009185,0.8196259507535466,0.9528732836390571,0.9506222501497957,0.9551243171283185,0.8973214285714285,0.8950218042587246,0.8996210528841324,0.8639167570037823,0.8612675249931845,0.8665659890143802,0.11520737327188942,0.11081193913382081,0.11960280740995802,33.28275420224541,32.83983792304399,33.725670481446826,8.919667201062614,8.76831509306163,9.071019309063598
0.35,3.0,0.0,0.9159663865546219,0.9119587848405005,0.9199739882687433,0.8912442396313363,0.8873747594365133,0.8951137198261592,0.822093159678299,0.8173410009779258,0.8268453183786721,0.9508543881563339,0.9487677265780726,0.9529410497345953,0.9,0.8982046371723824,0.9017953628276176,0.8664623451902402,0.8644303409424161,0.8684943494380644,0.1087557603686636,0.10488628017384072,0.1126252405634865,33.51640184768189,33.121483052656004,33.91132064270778,8.676230749389926,8.41522072450913,8.937240774270723
0.4,3.0,0.0,0.9117647058823529,0.9075140023598278,0.916015409404878,0.9036866359447003,0.8986630373691157,0.908710234520285,0.8386083405402717,0.8318840126069731,0.8453326684735702,0.9491960364552817,0.9470323581418918,0.9513597147686716,0.9065476190476189,0.9038545748061925,0.9092406632890454,0.8736100303406975,0.8704637470441288,0.8767563136372662,0.09631336405529956,0.09128976547971486,0.10133696263088425,33.696990061230586,33.139063517491834,34.25491660496934,8.284835281564684,7.972374221906035,8.597296341223332
0.45,3.0,0.0,0.907563025210084,0.898601755350564,0.9165242950696041,0.9105990783410137,0.9020590314579795,0.919139125224048,0.8481612237477512,0.8367012912192737,0.8596211562762286,0.9473625341380622,0.9430617270805047,0.9516633411956196,0.9095238095238095,0.9063184457396352,0.9127291733079839,0.876660956423339,0.8732771239153063,0.8800447889313716,0.08940092165898617,0.0808608747759519,0.09794096854202043,33.66500211640212,33.07166634107666,34.258337891727585,8.004226142868344,7.733974821067168,8.27447746466952
0.5,3.0,0.0,0.9,0.8896072447911554,0.9103927552088447,0.9184331797235021,0.9085985493126335,0.9282678101343708,0.858776892163983,0.8445018524985071,0.873051931829459,0.943767056538193,0.9387615473651859,0.9487725657112002,0.9119047619047619,0.9075070390739383,0.9163024847355855,0.878643659325032,0.8734423338116157,0.8838449848384482,0.0815668202764977,0.07173218986562906,0.09140145068736634,34.02270197395198,33.40891597669107,34.636487971212894,7.537091102936327,7.23362106353853,7.840561142334124
0.55,3.0,0.0,0.8823529411764707,0.8706688747721,0.8940370075808414,0.9313364055299539,0.9222152177545097,0.9404575933053981,0.876251124061979,0.862193836485419,0.890308411638539,0.9353156434302938,0.9295831062196311,0.9410481806409565,0.9139880952380952,0.9086348347662131,0.9193413557099773,0.8790587904268339,0.8719539478816749,0.8861636329719929,0.06866359447004608,0.059542406694601854,0.0777847822454903,33.998883703703704,33.4811794647563,34.51658794265111,7.077687594840199,6.841646051117619,7.313729138562779
0.6,2.9,0.3,0.8638655462184873,0.8526014046692024,0.8751296877677722,0.9408059682253231,0.9310038106010221,0.9506081258496242,0.8857532563313144,0.8637727730690055,0.9077337395936234,0.9283402609457282,0.9224303983407973,0.9342501235506591,0.9139329805996473,0.9083247441332712,0.9195412170660234,0.8743247959363932,0.8628477076046783,0.8858018842681081,0.059194031774676935,0.04939187415037585,0.06899618939897802,33.31428595317726,32.599294439545574,34.02927746680895,6.534870895814636,6.217892023445039,6.851849768184234
0.65,2.8,0.39999999999999997,0.8504201680672269,0.8411073432490123,0.8597329928854415,0.9533112049241079,0.9445764906656797,0.9620459191825361,0.9031201923578044,0.8799364435459699,0.9263039411696389,0.9244045338934441,0.9174799506289724,0.9313291171579159,0.9178858024691359,0.9128605226130563,0.9229110823252155,0.8756356000694533,0.8642638497837278,0.8870073503551787,0.046688795075891854,0.03795408081746367,0.05542350933432004,32.428657917300086,31.258045835128673,33.5992699994715,5.597771784507325,5.121383206577786,6.074160362436864
0.7,2.6,0.48989794855663565,0.8386554621848739,0.8339136038889481,0.8433973204807996,0.9576955302761754,0.9481995534380293,0.9671915071143214,0.9047696998231395,0.8778317510893011,0.9317076485569779,0.9230077989984409,0.9153737863052162,0.9306418116916656,0.9180092592592592,0.9146274152327072,0.9213911032858113,0.8700192589610228,0.8590526123634185,0.8809859055586272,0.04230446972382455,0.032808492885678504,0.0518004465619706,30.063985375494077,28.61405558965562,31.513915161332534,3.8395176104957436,3.375793738703843,4.303241482287644
0.75,2.0,0.0,0.8201680672268907,0.811117628306869,0.8292185061469125,0.9643356643356643,0.9596488362085144,0.9690224924628142,0.9056478101916987,0.8944784490746714,0.916817171308726,0.9280179316731763,0.924707840102303,0.9313280232440495,0.9219753086419752,0.918141508893999,0.9258091083899513,0.8606751274679993,0.8540174142789481,0.8673328406570506,0.03566433566433567,0.030977507537185672,0.040351163791485664,26.419277774706377,25.199733728218654,27.6388218211941,1.1375861732961572,0.49933072825960956,1.7758416183327048
0.8,2.2,0.39999999999999997,0.7890756302521009,0.77758212477816,0.8005691357260418,0.9778769617479295,0.972038494936901,0.983715428558958,0.9387404687020255,0.9214857408864161,0.955995196517635,0.913000546276967,0.9046634085323164,0.9213376840216176,0.9199272486772487,0.9168494742921639,0.9230050230623336,0.8571588796502967,0.8490185648349785,0.8652991944656149,0.02212303825207051,0.01628457144104202,0.027961505063099003,24.076898626373627,22.694535258671973,25.45926199407528,-1.4697004983760085,-1.8209009055846501,-1.1185000911673668
0.85,2.0,0.0,0.7378151260504202,0.7245839696633386,0.7510462824375018,0.982867132867133,0.9806770526025443,0.9850572131317217,0.9472314350212759,0.9409139098377263,0.9535489602048256,0.9001386820284519,0.8956415400455153,0.9046358240113885,0.9108641975308641,0.9070078590834357,0.9147205359782925,0.8293716101141358,0.8208585624868924,0.8378846577413793,0.01713286713286713,0.01494278686827848,0.01932294739745578,20.737022727272723,19.911061081254555,21.56298437329089,-4.198674575112436,-4.624174329062449,-3.7731748211624234
0.9,1.2,0.4,0.6596638655462185,0.6448709829949959,0.674456748097441,0.9876789876789879,0.98626979079218,0.9890881845657957,0.9470242061837857,0.9415272858964266,0.9525211264711447,0.8965492633294365,0.8864505550025827,0.9066479716562903,0.9054986710385771,0.8979902741902713,0.9130070678868828,0.7774515046062228,0.7674201777568792,0.7874828314555664,0.01232101232101232,0.010911815434204448,0.013730209207820192,15.196380952380952,13.464458199560775,16.92830370520113,-8.632106152435998,-8.968499800009724,-8.295712504862273
0.95,1.0,0.0,0.5268907563025209,0.515537849459791,0.5382436631452509,1.0,1.0,1.0,1.0,1.0,1.0,0.8703809795169674,0.8676623573518544,0.8730996016820803,0.8867203219315896,0.8840020202931894,0.8894386235699897,0.6900224194377349,0.6803724342038178,0.699672404671652,0.0,0.0,0.0,14.104500000000002,13.595877969949838,14.613122030050166,-13.783213432676865,-14.548280443813676,-13.018146421540054
