threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,0,0.9949579831932773,0.990754775055565,0.9991611913309897,0.021292775665399232,0.014453629207025188,0.028131922123773277,0.18699396628767012,0.1860657201691939,0.18792221240614634,0.9591626124133864,0.9263592352667397,0.9919659895600331,0.20093023255813955,0.1956967514187555,0.2061637136975236,0.3148173972833416,0.31345892955403587,0.3161758650126474,0.9787072243346007,0.9718680778762266,0.9855463707929747,43.869063513830284,43.70105511141132,44.037071916249246,29.714438973677254,29.61573713710853,29.81314081024598
0.05,1,0.9949579831932773,0.990754775055565,0.9991611913309897,0.025132275132275162,0.017601890632412617,0.03266265963213771,0.24318093404070598,0.24204787889540974,0.24431398918600222,0.9544072594072593,0.918072491289832,0.9907420275246867,0.2573440643863179,0.2521566327505931,0.26253149602204273,0.39083174454930075,0.38934883577957036,0.39231465331903115,0.9748677248677249,0.9673373403678623,0.9823981093675874,43.869063513830284,43.70105511141132,44.037071916249246,29.714438973677254,29.61573713710853,29.81314081024598
0.05,2,0.9949579831932773,0.990754775055565,0.9991611913309897,0.02202797202797202,0.015352768667466292,0.028703175388477747,0.29742064004978286,0.2961638328688682,0.2986774472306975,0.9314285714285715,0.8761220705641931,0.9867350722929499,0.3079012345679012,0.30365146523885306,0.31215100389694933,0.45794358588722683,0.45632339659278,0.4595637751816737,0.9779720279720279,0.9712968246115221,0.9846472313325336,43.869063513830284,43.70105511141132,44.037071916249246,29.714438973677254,29.61573713710853,29.81314081024598
0.05,3,0.9949579831932773,0.990754775055565,0.9991611913309897,0.01889400921658988,0.013635537689008988,0.024152480744170774,0.3573829563410709,0.3565520750403739,0.35821383764176795,0.9044444444444446,0.8314805221519669,0.9774083667369223,0.3645833333333333,0.36207423750406503,0.3670924291626016,0.5258709005503919,0.5247578572296371,0.5269839438711467,0.9811059907834101,0.9758475192558292,0.986364462310991,43.869063513830284,43.70105511141132,44.037071916249246,29.714438973677254,29.61573713710853,29.81314081024598
0.1,0,0.9630252100840335,0.9599209351446286,0.9661294850234384,0.3212927756653992,0.2971936184985135,0.3453919328322849,0.24331275466109387,0.23663354318190344,0.2499919661402843,0.9743241277857887,0.9712404788052488,0.9774077767663286,0.43968992248062017,0.41986938592863143,0.4595104590326089,0.3883988485020175,0.3797717396577576,0.3970259573462774,0.6787072243346007,0.654608067167715,0.7028063815014864,39.539765934406965,39.19922101242423,39.8803108563897,22.16405278413425,21.769445223204475,22.558660345064023
0.1,1,0.9630252100840335,0.9599209351446286,0.9661294850234384,0.35211640211640216,0.3244685054360291,0.3797642987967752,0.3192485610547283,0.3098446599466001,0.32865246216285654,0.9676024723607529,0.9636834094315045,0.9715215352900013,0.49839034205231386,0.47715972756198277,0.519620956542645,0.47940194517109413,0.46862966228192965,0.4901742280602586,0.6478835978835978,0.6202357012032248,0.6755314945639709,39.539765934406965,39.19922101242423,39.8803108563897,22.16405278413425,21.769445223204475,22.558660345064023
0.1,2,0.9630252100840335,0.9599209351446286,0.9661294850234384,0.39580419580419585,0.36962924743471676,0.42197914417367494,0.39921965359456457,0.38864712702388327,0.4097921801652459,0.9622198352793406,0.9577700346308619,0.9666696359278194,0.5624691358024692,0.5436505519585605,0.5812877196463778,0.5643167750201531,0.5534772533700714,0.5751562966702348,0.6041958041958042,0.5780208558263251,0.6303707525652833,39.539765934406965,39.19922101242423,39.8803108563897,22.16405278413425,21.769445223204475,22.558660345064023
0.1,3,0.9630252100840335,0.9599209351446286,0.9661294850234384,0.4138248847926267,0.3851785890878126,0.4424711804974408,0.4744908810837142,0.46214553221613947,0.4868362299512889,0.952855341011966,0.9474748710021393,0.9582358110217927,0.6083333333333334,0.589524818953236,0.6271418477134307,0.6355881916722961,0.6242428022114624,0.6469335811331297,0.5861751152073732,0.5575288195025592,0.6148214109121872,39.539765934406965,39.19922101242423,39.8803108563897,22.16405278413425,21.769445223204475,22.558660345064023
0.15,0,0.9487394957983193,0.9468385233926065,0.950640468204032,0.5733840304182509,0.5542128830391566,0.5925551777973452,0.3352471704803806,0.32503523453434285,0.34545910642641836,0.9801192153600266,0.9789067280463869,0.9813317026736662,0.6426356589147286,0.6268358569671016,0.6584354608623556,0.49528247330031344,0.48400421469657984,0.506560731904047,0.4266159695817491,0.40744482220265477,0.4457871169608434,35.15672501616546,34.49391791281039,35.81953211952053,13.99481479140329,13.318832544605145,14.670797038201433
0.15,1,0.9487394957983193,0.9468385233926065,0.950640468204032,0.6074074074074074,0.5859185373536674,0.6288962774611474,0.4328061904274147,0.4191237410323706,0.4464886398224588,0.9740351311327796,0.9723577981585962,0.975712464106963,0.6891348088531187,0.6725388831403144,0.7057307345659231,0.5942259761352633,0.5811110813575098,0.6073408709130168,0.3925925925925926,0.3711037225388526,0.4140814626463326,35.15672501616546,34.49391791281039,35.81953211952053,13.99481479140329,13.318832544605145,14.670797038201433
0.15,2,0.9487394957983193,0.9468385233926065,0.950640468204032,0.6604895104895105,0.6406732695684701,0.6803057514105509,0.5382993928019004,0.5235951445957212,0.5530036410080796,0.9686372047515052,0.9667203708642336,0.9705540386387768,0.7451851851851852,0.7308404200387583,0.7595299503316121,0.6866852007094655,0.6743722805072097,0.6989981209117213,0.3395104895104895,0.31969424858944906,0.35932673043152996,35.15672501616546,34.49391791281039,35.81953211952053,13.99481479140329,13.318832544605145,14.670797038201433
0.15,3,0.9487394957983193,0.9468385233926065,0.950640468204032,0.6829493087557603,0.6615963639053297,0.7043022536061909,0.6220490904522438,0.6060657614040508,0.6380324195004368,0.9603612063018339,0.957922719577875,0.9627996930257927,0.7770833333333333,0.7628737851128642,0.7912928815538025,0.7512310167592923,0.7391571359445581,0.7633048975740264,0.3170506912442397,0.295697746393809,0.33840363609467033,35.15672501616546,34.49391791281039,35.81953211952053,13.99481479140329,13.318832544605145,14.670797038201433
0.2,0,0.9420168067226891,0.9401158343169763,0.9439177791284018,0.7209125475285172,0.7056762965790548,0.7361487984779795,0.43368642205925134,0.42083663074137634,0.44653621337712635,0.9821175276523068,0.9814481047945302,0.9827869505100834,0.7617054263565892,0.7493104906415643,0.7741003620716141,0.5937325573282173,0.5815558671738754,0.6059092474825591,0.2790874524714829,0.2638512015220206,0.29432370342094527,33.801128770470875,33.553253242028106,34.049004298913644,11.366146965865992,11.118971940902341,11.613321990829643
