threshold,mask_length_mean,mask_length_std,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper
0.3,1.0,0.0,0.6605042016806724,0.6573999267412675,0.6636084766200773,0.8423280423280424,0.8370351135620342,0.8476209710940505,0.5689542909265927,0.5611865557919536,0.5767220260612317,0.8874024050460315,0.8866429505193458,0.8881618595727172,0.7987927565392353,0.7951388357574879,0.8024466773209827,0.6112493052470362,0.6072497263895652,0.6152488841045073,0.15767195767195769,0.15237902890594954,0.16296488643796583,33.28275420224541,32.83983792304399,33.725670481446826
0.4,1.0,0.0,0.6529411764705882,0.6459709443163081,0.6599114086248684,0.8571428571428571,0.852422186152725,0.8618635281329892,0.5901554631531066,0.5834751797295801,0.5968357465766332,0.886954683059147,0.8852400434884056,0.8886693226298885,0.8082494969818914,0.8053668017375476,0.8111321922262352,0.6198731251756813,0.6159218836974998,0.6238243666538628,0.14285714285714285,0.13813647186701078,0.14757781384727492,33.696990061230586,33.139063517491834,34.25491660496934
0.5,1.0,0.0,0.6378151260504202,0.6282261485589492,0.6474041035418913,0.8722222222222221,0.8641412426279395,0.8803032018165048,0.6118175043526246,0.5986353356112302,0.624999673094019,0.8844164030850589,0.8823923436719723,0.8864404624981455,0.8160965794768611,0.8115855957210735,0.8206075632326487,0.6242379919469715,0.6194951077973188,0.6289808760966242,0.12777777777777777,0.11969679818349507,0.13585875737206046,34.02270197395198,33.40891597669107,34.636487971212894
0.6,1.0,0.0,0.607563025210084,0.6000387596622663,0.6150872907579017,0.9039682539682541,0.8943577250509109,0.9135787828855972,0.6672060092469075,0.6454336369337647,0.6889783815600504,0.8797713293123465,0.8782152750738531,0.8813273835508398,0.8329979879275655,0.8267056888882127,0.8392902869669183,0.6355250404492965,0.6276388213421492,0.6434112595564437,0.09603174603174602,0.08642121711440284,0.1056422749490892,33.31428595317726,32.599294439545574,34.02927746680895
0.7,1.0,0.0,0.5638655462184874,0.5530933692527816,0.5746377231841931,0.9351851851851851,0.9305281666042446,0.9398422037661256,0.7331347691261602,0.7215357389124203,0.7447337993399,0.8720042191346394,0.8697202738723514,0.8742881643969275,0.846277665995976,0.8443346917024823,0.8482206402894696,0.6371597489711143,0.6323688210981475,0.641950676844081,0.06481481481481481,0.060157796233874385,0.06947183339575523,30.063985375494077,28.61405558965562,31.513915161332534
