threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,n_early_mean,n_early_ci_lower,n_early_ci_upper,n_missed_mean,n_missed_ci_lower,n_missed_ci_upper,n_false_alarm_mean,n_false_alarm_ci_lower,n_false_alarm_ci_upper
0.3,0,0.8620253164556961,0.8568851944551442,0.867165438456248,0.6935897435897436,0.6760547801102696,0.7111247070692175,17.036767261904764,16.670793621438325,17.402740902371203,0.3064102564102564,0.2888752929307824,0.32394521988973035,15.1,14.572163328680418,15.627836671319582,10.9,10.493930361956396,11.306069638043605,23.9,22.53227284860103,25.26772715139897
0.3,1,0.8620253164556961,0.8568851944551442,0.867165438456248,0.7024390243902439,0.6864056675332616,0.7184723812472261,17.036767261904764,16.670793621438325,17.402740902371203,0.2975609756097561,0.2815276187527739,0.3135943324667383,15.1,14.572163328680418,15.627836671319582,10.9,10.493930361956396,11.306069638043605,12.2,11.542632368863728,12.85736763113627
0.3,2,0.8620253164556961,0.8568851944551442,0.867165438456248,0.7608695652173914,0.7187566161077736,0.8029825143270091,17.036767261904764,16.670793621438325,17.402740902371203,0.2391304347826087,0.19701748567299104,0.28124338389222636,15.1,14.572163328680418,15.627836671319582,10.9,10.493930361956396,11.306069638043605,5.5,4.531402170478794,6.468597829521206
0.3,3,0.8620253164556961,0.8568851944551442,0.867165438456248,0.8285714285714286,0.8021850915864872,0.85495776555637,17.036767261904764,16.670793621438325,17.402740902371203,0.1714285714285714,0.14504223444362999,0.19781490841351282,15.1,14.572163328680418,15.627836671319582,10.9,10.493930361956396,11.306069638043605,2.4,2.03059128221082,2.76940871778918
0.4,0,0.7746835443037974,0.7635522957005433,0.7858147929070515,0.7935897435897437,0.785559449286252,0.8016200378932353,15.264095654345656,14.69980633156327,15.828384977128042,0.20641025641025643,0.1983799621067647,0.21444055071374815,12.5,11.89206352954537,13.10793647045463,17.8,16.92063136034293,18.67936863965707,16.1,15.473637044327647,16.726362955672354
0.4,1,0.7746835443037974,0.7635522957005433,0.7858147929070515,0.7804878048780488,0.7688559852687697,0.7921196244873279,15.264095654345656,14.69980633156327,15.828384977128042,0.21951219512195125,0.20788037551267216,0.23114401473123034,12.5,11.89206352954537,13.10793647045463,17.8,16.92063136034293,18.67936863965707,9.0,8.523095396019556,9.476904603980444
0.4,2,0.7746835443037974,0.7635522957005433,0.7858147929070515,0.8695652173913043,0.8695652173913043,0.8695652173913043,15.264095654345656,14.69980633156327,15.828384977128042,0.13043478260869562,0.1304347826086956,0.13043478260869565,12.5,11.89206352954537,13.10793647045463,17.8,16.92063136034293,18.67936863965707,3.0,3.0,3.0
0.4,3,0.7746835443037974,0.7635522957005433,0.7858147929070515,0.9214285714285715,0.9052703059800129,0.9375868368771301,15.264095654345656,14.69980633156327,15.828384977128042,0.07857142857142856,0.06241316312286996,0.09472969401998715,12.5,11.89206352954537,13.10793647045463,17.8,16.92063136034293,18.67936863965707,1.1,0.8737842837201796,1.3262157162798205
0.5,0,0.7088607594936709,0.7045921205132448,0.713129398474097,0.885897435897436,0.8733298961041126,0.8984649756907593,13.084384920634923,12.472586326370807,13.696183514899039,0.1141025641025641,0.10153502430924075,0.12667010389588745,8.7,7.8705423736406575,9.52945762635934,23.0,22.662777520546342,23.337222479453658,8.9,7.919731896120778,9.880268103879223
0.5,1,0.7088607594936709,0.7045921205132448,0.713129398474097,0.8658536585365854,0.8535162507516955,0.8781910663214753,13.084384920634923,12.472586326370807,13.696183514899039,0.13414634146341461,0.12180893367852476,0.14648374924830448,8.7,7.8705423736406575,9.52945762635934,23.0,22.662777520546342,23.337222479453658,5.5,4.994166280819515,6.005833719180485
0.5,2,0.7088607594936709,0.7045921205132448,0.713129398474097,0.9,0.8790074299159485,0.9209925700840516,13.084384920634923,12.472586326370807,13.696183514899039,0.1,0.07900742991594854,0.12099257008405147,8.7,7.8705423736406575,9.52945762635934,23.0,22.662777520546342,23.337222479453658,2.3,1.817170888066816,2.7828291119331836
0.5,3,0.7088607594936709,0.7045921205132448,0.713129398474097,0.9285714285714286,0.9285714285714286,0.9285714285714286,13.084384920634923,12.472586326370807,13.696183514899039,0.07142857142857142,0.07142857142857142,0.07142857142857142,8.7,7.8705423736406575,9.52945762635934,23.0,22.662777520546342,23.337222479453658,1.0,1.0,1.0
0.6,0,0.660759493670886,0.6536166944656308,0.6679022928761413,0.941025641025641,0.9346130542514388,0.9474382277998432,11.72805,10.741433055650214,12.714666944349785,0.05897435897435897,0.05256177220015678,0.06538694574856116,4.0,3.2459476124005984,4.754052387599401,26.8,26.235718862784836,27.364281137215166,4.6,4.099818231612229,5.10018176838777
0.6,1,0.660759493670886,0.6536166944656308,0.6679022928761413,0.9146341463414636,0.9022967385565737,0.9269715541263535,11.72805,10.741433055650214,12.714666944349785,0.08536585365853658,0.07302844587364671,0.09770326144342645,4.0,3.2459476124005984,4.754052387599401,26.8,26.235718862784836,27.364281137215166,3.5,2.9941662808195155,4.005833719180485
0.6,2,0.660759493670886,0.6536166944656308,0.6679022928761413,0.9565217391304349,0.9565217391304348,0.956521739130435,11.72805,10.741433055650214,12.714666944349785,0.04347826086956521,0.0434782608695652,0.043478260869565216,4.0,3.2459476124005984,4.754052387599401,26.8,26.235718862784836,27.364281137215166,1.0,1.0,1.0
0.6,3,0.660759493670886,0.6536166944656308,0.6679022928761413,0.9285714285714286,0.9285714285714286,0.9285714285714286,11.72805,10.741433055650214,12.714666944349785,0.07142857142857142,0.07142857142857142,0.07142857142857142,4.0,3.2459476124005984,4.754052387599401,26.8,26.235718862784836,27.364281137215166,1.0,1.0,1.0
0.7,0,0.5506329113924051,0.5369665985341968,0.5642992242506134,0.9666666666666666,0.9568078773368189,0.9765254559965142,12.05,,,0.033333333333333326,0.02347454400348569,0.04319212266318096,0.1,-0.12621571627982048,0.3262157162798205,35.5,34.42036128420155,36.57963871579845,2.6,1.8310144322718842,3.368985567728116
0.7,1,0.5506329113924051,0.5369665985341968,0.5642992242506134,0.9634146341463415,0.9445689324617431,0.98226033583094,12.05,,,0.03658536585365854,0.017739664169060122,0.05543106753825696,0.1,-0.12621571627982048,0.3262157162798205,35.5,34.42036128420155,36.57963871579845,1.5,0.7273262309314646,2.2726737690685352
0.7,2,0.5506329113924051,0.5369665985341968,0.5642992242506134,0.9695652173913045,0.9545412950254939,0.9845891397571152,12.05,,,0.030434782608695653,0.015410860242885053,0.045458704974506256,0.1,-0.12621571627982048,0.3262157162798205,35.5,34.42036128420155,36.57963871579845,0.7,0.35444978558635615,1.0455502144136437
0.7,3,0.5506329113924051,0.5369665985341968,0.5642992242506134,0.95,0.9253178418275968,0.9746821581724031,12.05,,,0.05,0.02531784182759687,0.07468215817240313,0.1,-0.12621571627982048,0.3262157162798205,35.5,34.42036128420155,36.57963871579845,0.7,0.35444978558635615,1.0455502144136437
