threshold,mask_length_mean,mask_length_std,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,5.0,0.0,0.9949579831932773,0.990754775055565,0.9991611913309897,0.023684210526315797,0.012596297056730713,0.03477212399590088,0.5154787603461413,0.5130223410970699,0.5179351795952126,0.8296296296296296,0.6897625253771446,0.9694967338821147,0.5197424892703864,0.5150638588373311,0.5244211197034416,0.6791016166597263,0.6769176817292583,0.6812855515901944,0.976315789473684,0.965227876004099,0.9874037029432691,43.869063513830284,43.70105511141132,44.037071916249246,29.714438973677254,29.61573713710853,29.81314081024598
0.1,4.0,0.0,0.9630252100840335,0.9599209351446286,0.9661294850234384,0.4950617283950618,0.46392080086847665,0.526202655921647,0.5841690054548933,0.5691654250672386,0.599172585842548,0.9476584064325266,0.9423728855841054,0.9529439272809479,0.6932384341637011,0.6750858605170634,0.7113910078103388,0.7270203219325634,0.715160985812897,0.7388796580522298,0.5049382716049383,0.47379734407835317,0.5360791991315235,39.539765934406965,39.19922101242423,39.8803108563897,22.16405278413425,21.769445223204475,22.558660345064023
0.15,3.0,0.0,0.9487394957983193,0.9468385233926065,0.950640468204032,0.6829493087557603,0.6615963639053297,0.7043022536061909,0.6220490904522438,0.6060657614040508,0.6380324195004368,0.9603612063018339,0.957922719577875,0.9627996930257927,0.7770833333333333,0.7628737851128642,0.7912928815538025,0.7512310167592923,0.7391571359445581,0.7633048975740264,0.3170506912442397,0.295697746393809,0.33840363609467033,35.15672501616546,34.49391791281039,35.81953211952053,13.99481479140329,13.318832544605145,14.670797038201433
0.2,3.0,0.0,0.9420168067226891,0.9401158343169763,0.9439177791284018,0.8262672811059908,0.8139277309137465,0.8386068312982351,0.7487474369269291,0.7356117621540162,0.761883111699842,0.9629352618969819,0.9616900020161794,0.9641805217777843,0.8672619047619048,0.8593465126784857,0.8751772968453239,0.8342196472919767,0.8260514724872801,0.8423878220966734,0.1737327188940092,0.1613931687017649,0.18607226908625352,33.801128770470875,33.553253242028106,34.049004298913644,11.366146965865992,11.118971940902341,11.613321990829643
0.25,3.0,0.0,0.9403361344537815,0.9384351620480688,0.9422371068594942,0.868663594470046,0.8663325635060807,0.8709946254340114,0.797027226884959,0.794233871981496,0.799820581788422,0.9637044652453621,0.9626165043094356,0.9647924261812887,0.8940476190476192,0.8925589828321794,0.895536255263059,0.8627642373111499,0.8610389952095416,0.8644894794127582,0.1313364055299539,0.12900537456598854,0.13366743649391927,32.80581342415754,32.204366128366765,33.40726071994832,9.722596203346203,9.555340048667222,9.889852358025184
0.3,3.0,0.0,0.9243697478991597,0.9215359455508096,0.9272035502475098,0.8774193548387096,0.8751143697309318,0.8797243399464874,0.805287692671483,0.8023075766434575,0.8082678086995085,0.954868915283488,0.9532470908556921,0.956490739711284,0.8940476190476192,0.8922522562200016,0.8958429818752368,0.8607221808957046,0.858465985093809,0.8629783766976002,0.1225806451612903,0.12027566005351256,0.12488563026906804,33.28652272727273,33.090409125056965,33.4826363294885,9.214629437444117,9.106213276754879,9.323045598133355
0.35,3.0,0.0,0.9159663865546218,0.9159663865546218,0.9159663865546218,0.8811059907834101,0.8797160324652545,0.8824959491015657,0.8086124930901052,0.8067950976175052,0.8104298885627051,0.9502980148761143,0.9502237276599576,0.9503723020922711,0.8934523809523809,0.892554699538572,0.8943500623661897,0.8589461890386232,0.8579229814167212,0.8599693966605252,0.11889400921658984,0.11750405089843426,0.12028396753474542,33.416562500000005,33.416562500000005,33.416562500000005,9.081642201834862,8.998961639452943,9.16432276421678
0.4,3.0,0.0,0.9159663865546218,0.9159663865546218,0.9159663865546218,0.8866359447004607,0.8849336003788515,0.8883382890220699,0.8158792503647179,0.8136199332151824,0.8181385675142533,0.9505925962054335,0.9505025097015586,0.9506826827093083,0.8970238095238097,0.8959243788161038,0.8981232402315156,0.863027793462576,0.8617646793952247,0.8642909075299272,0.11336405529953919,0.11166171097793007,0.11506639962114831,33.470217741935485,33.38930001535814,33.55113546851283,8.98587155963303,8.916415725032131,9.055327394233927
0.45,3.0,0.0,0.9159663865546218,0.9159663865546218,0.9159663865546218,0.8912442396313363,0.8895418953097272,0.8929465839529453,0.822032353611301,0.8197388043837422,0.8243259028388598,0.9508355066164398,0.9507463033135833,0.9509247099192962,0.9,0.8989005692922941,0.9010994307077059,0.8664579776133563,0.865184798892082,0.8677311563346306,0.10875576036866359,0.10705341604705447,0.11045810469027272,33.504817540322584,33.33119358401269,33.67844149663248,8.765467889908257,8.680264380624136,8.850671399192377
0.5,3.0,0.0,0.9092436974789916,0.905441752667566,0.9130456422904172,0.893548387096774,0.8925059183581573,0.8945908558353907,0.8240668873111622,0.8224701559841007,0.8256636186382237,0.9472474497731842,0.945147933333863,0.9493469662125054,0.8991071428571429,0.8975362003829774,0.9006780853313083,0.8645573209171348,0.8622825282019253,0.8668321136323442,0.1064516129032258,0.10540914416460911,0.10749408164184249,33.88078828327771,33.477859490447756,34.28371707610766,8.48003697114331,8.35846522028277,8.60160872200385
