trial,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,min_child_weight,gamma,reg_alpha,reg_lambda
6,0.9403800814373751,226,3,0.06284947222779355,0.36554605909488347,0.5170038917136885,0.2132612754072234,0.4235041573024807,8,0.7385821684798616,1.3930331820444253,0.7793521766731508
2,0.9399636396979224,358,9,0.09006310431981783,0.5198330699453411,0.7930911631930938,0.9587918435470321,0.3047677663333844,10,4.7212900879975095,5.025243044895715,1.4874474356296912
10,0.9386435337650058,230,6,0.11822315158415163,0.8773283154535993,0.7536472559283448,0.26251616521324345,0.4573787323565922,3,4.584447028920841,0.7058644601794647,0.0001536474243330576
8,0.9321714043784188,242,5,0.18031177576941235,0.3634545362896381,0.39557903152644464,0.8075668430107359,0.7944389037747905,1,1.2655592667549709,8.963699666002928,0.017262464611422456
4,0.9321031774135069,556,10,0.23021942454348082,0.814551256783091,0.34857498484207095,0.8711412911575959,0.8052528567469897,3,0.15772455950165076,0.8502650507622058,0.00836306561982421
9,0.941854939172021,532,3,0.005908423259287349,0.47184987515794674,0.973079523315665,0.8331146383771015,0.8690346402161776,6,4.987488434517607,0.9989947869883172,2.420742094414812
5,0.9224918384895595,708,9,0.16162312285936087,0.21906911060869083,0.4165212021460205,0.5834280023981511,0.4849186123832002,3,2.748026791232939,0.003231582730687008,3.245678734134912
3,0.9396752120953265,609,5,0.02470051778862682,0.9516780828578978,0.8631710635369246,0.4569172500048637,0.7227950764035289,8,0.5379975284672844,0.4552625983280046,0.04745377148013628
7,0.9328940508236464,835,4,0.07075192508368887,0.6275125142096888,0.48291368725746486,0.8397567372819534,0.676091336486573,9,0.9153421348761343,0.0010979787780949289,0.10116028475301499
1,0.9383820619448452,761,4,0.03537803186750039,0.8983500760744486,0.9502865479167995,0.894179833055575,0.9455652688796741,7,3.6814486951497063,0.001029823309325497,0.10155223910923794
0,0.9384412427708376,744,9,0.025271448188315164,0.7895196047785,0.2491788662529058,0.4533972160094276,0.755294616237339,7,3.3818139777652805,0.010559917591372913,0.028605366656257923
14,0.9418777048012767,404,3,0.02860958605503984,0.36897596915360487,0.5961016214661757,0.7800183321788328,0.20032381613930977,1,2.530758455652454,8.866080589698187,0.007842242787944622
12,0.9297754132164174,630,10,0.16490345312402566,0.527087362507312,0.31600999927426215,0.24080808727064645,0.4682505449312487,3,0.582382473827045,0.0461721063302627,0.006542730977803201
20,0.9364806779252483,462,3,0.008598843794683472,0.4530421995445453,0.6116007103020995,0.21522341693637587,0.22999413341247082,6,1.8896908762827547,0.04955781487778872,8.357868066203466
18,0.9416058301300838,533,3,0.029591032838259153,0.2917045046056046,0.49126080170484054,0.6288064395252152,0.2358447503445995,1,1.267314663721098,9.523015337358997,0.003031649470315106
16,0.9385991411010446,553,4,0.05429663048493273,0.3707369793234403,0.7619787194055955,0.651760888914503,0.5035112497509435,2,3.260873137284012,4.77757311227513,0.012875076698130062
15,0.9396575080458769,684,4,0.006511536176439493,0.2874473982311691,0.25460646871284737,0.3029293683506318,0.6852618857162552,1,4.558157824329185,2.3689067978369835,0.146620324767804
21,0.9412069077185083,452,3,0.005076628127661787,0.5195936009717628,0.65946378198838,0.6908540621815025,0.9761246691031237,1,2.1482831437821286,0.043250418023794965,0.0008301300374245629
22,0.9393271058577548,453,3,0.005979309463602051,0.35865898527804446,0.630179410345378,0.7368693773977186,0.20734515797550093,5,1.8538083242088623,0.060642969115130556,0.0005717415295080585
24,0.9403682154245102,103,7,0.005729272652338836,0.6480132446266001,0.6113202515060148,0.7193925613946828,0.5955636861408928,5,2.2201363316628138,0.1942346990934347,0.00019401445868151066
17,0.9423662881418998,732,4,0.009519608019454014,0.3970384770844918,0.6496578096743945,0.8459869177054632,0.5710605369846425,7,4.5203823230960225,0.12136599732877232,0.1682291887664626
23,0.9404361157348904,373,3,0.005302393856900953,0.2071520962480698,0.6682837406969087,0.717506014196055,0.9973948688984647,5,2.2186578282016143,0.12691966035001961,0.0008979714838103473
26,0.940399162027807,105,7,0.015794787780218648,0.6717898316971523,0.6297897119082801,0.7518946424803457,0.9935280773993984,5,2.2588958917874273,0.16752011167810446,0.0007049267067474382
19,0.9416145725742149,990,7,0.007140407595407227,0.6974421436430659,0.23169359941452483,0.6553054167396309,0.22994419618666873,6,2.0484365007657077,0.022910552019803482,0.0006615048502501993
29,0.9422177730413914,327,5,0.013971506837457346,0.6551734910875203,0.9779688178263557,0.9892609254155087,0.8565401803891913,5,4.0560943202346955,0.1930226813728686,0.3958775608319545
25,0.9407263446337225,410,7,0.005158299872432608,0.6545695640843214,0.6159168696275674,0.7408222931447389,0.984439242402319,5,2.5057550689187806,0.16827540494240112,0.0008828899972615627
13,0.9416491781257182,712,9,0.005966726307544264,0.5920904119767827,0.7366618311970656,0.4537829487244137,0.390297432816673,1,1.5131356757557457,1.0215508647944789,0.00017714153832710123
31,0.9410052554226583,951,5,0.011512554821452102,0.4238692719684057,0.9685212928391896,0.9881537319838946,0.3495122652734153,4,4.03185209330522,0.25735610143527454,0.517623544045061
32,0.9411739083054222,825,5,0.012440457430807052,0.444438442343908,0.9686946233385713,0.9779077473643494,0.36396675833937775,6,4.117387899915357,2.010130095658488,0.3019307025850898
28,0.9397476928745251,986,7,0.014931594860082813,0.6445534684838439,0.9615974871848119,0.7580882784720455,0.5868964326554809,5,4.016800865548447,0.2344436863085932,0.4662605650262289
11,0.9366645155474302,907,10,0.022018842748424413,0.9297581673302261,0.880158431836619,0.7143447644885247,0.4882985114427569,2,0.0503373942682811,0.0006433451481724665,0.0010630675938551758
30,0.9404149061500657,969,5,0.013258228676934143,0.45036498240663514,0.9804995272161032,0.976768107409759,0.8867869742009935,5,4.139308216916919,0.00015693214763437397,0.459501587039629
27,0.9399730563236112,994,7,0.012066217167030314,0.6534054069784271,0.9871823158748072,0.7568749809774916,0.5756789857952271,5,3.8738169555969186,0.0001451630255353958,0.4151124889162679
34,0.9408508626278266,910,5,0.011853227966071338,0.5934796554050571,0.8759556596848417,0.9996274350504282,0.3605219704616949,4,4.069144730928167,0.0001902418324276462,0.42252932578680574
37,0.941653013446499,292,6,0.01792008886035156,0.7545699142219324,0.8398033919056953,0.9342281901192027,0.567058839323935,8,4.069528591186946,0.0002405725843825417,0.26028092994990804
40,0.9413416250568281,304,4,0.008721466585914496,0.7329527819776374,0.872691186525123,0.9124740089443778,0.875378994218529,7,4.983564317896315,0.0065292945320031695,1.9055190991133446
41,0.9413569026788448,288,4,0.009438964074082729,0.5678815828508733,0.8862604401035523,0.8980120183901826,0.8907565044175338,7,3.554197434857795,0.014157527964130721,1.8481336880140482
35,0.9408927850321174,937,5,0.011686521464118083,0.56946906970669,0.8635168047202679,0.9865873794075406,0.36554118474213904,4,3.9934424093933996,0.0003307807673009756,0.3361148259063485
39,0.941539330364054,301,6,0.0190675720108788,0.7713205159951918,0.894906478281413,0.8975763666230301,0.553919471112252,7,3.5377915156944657,0.00011149462540045031,0.0036262199008649967
33,0.9414711263588854,860,5,0.012095118774265754,0.4506514217364501,0.8871842107269371,0.9908437214408571,0.8922532799936524,4,3.94561182388925,0.36449108675173675,0.3738322593484201
42,0.9416265053790609,310,4,0.009695207026932547,0.5592611266958402,0.8984970459094304,0.9207236830094825,0.9019965720106501,7,4.952541720491497,0.01734327024828555,2.302962639595218
38,0.9418062645159064,316,6,0.017443566323448775,0.7496019441862012,0.8847584177965593,0.9188034799185228,0.6536291836318195,7,3.135464702063026,0.00019619815583386442,0.04935695149915899
