Responses,Coding,Count,Pct
"('CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,59,0.11
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,58,0.1
"('Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,57,0.1
"('CN', 'CN', 'Unknown')",cn_mci_dementia,56,0.1
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,56,0.1
"('CN', 'MCI', 'CN')",cn_mci_dementia,53,0.1
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,52,0.09
"('MCI', 'MCI', 'Unknown')",cn_mci_dementia,51,0.09
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,51,0.09
"('CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,51,0.09
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,47,0.09
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,45,0.08
"('CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,44,0.08
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,44,0.08
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,44,0.08
"('MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,39,0.07
"('CN', 'DEM')",cn_mci_dementia,39,0.07
"('MCI', 'MCI', 'CN', 'CN')",cn_mci_dementia,37,0.07
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,37,0.07
"('Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,36,0.07
"('CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,34,0.06
"('CN', 'Unknown', 'Unknown')",cn_mci_dementia,34,0.06
"('Unknown', 'MCI', 'MCI')",cn_mci_dementia,34,0.06
"('MCI', 'CN', 'MCI')",cn_mci_dementia,33,0.06
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,32,0.06
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,32,0.06
"('CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,32,0.06
"('MCI', 'Unknown', 'Unknown')",cn_mci_dementia,32,0.06
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,32,0.06
"('DEM', 'MCI', 'MCI')",cn_mci_dementia,31,0.06
"('CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,31,0.06
"('CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,31,0.06
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,30,0.05
"('CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,30,0.05
"('CN', 'CN', 'CN', 'CN', 'DEM')",cn_mci_dementia,29,0.05
"('CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,29,0.05
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,28,0.05
"('Unknown', 'Unknown', 'CN')",cn_mci_dementia,28,0.05
"('CN', 'MCI', 'DEM')",cn_mci_dementia,27,0.05
"('CN', 'Unknown', 'CN')",cn_mci_dementia,27,0.05
"('Unknown', 'DEM')",cn_mci_dementia,27,0.05
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,26,0.05
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,26,0.05
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,25,0.05
"('MCI', 'MCI', 'MCI', 'Unknown')",cn_mci_dementia,25,0.05
"('CN', 'CN', 'DEM')",cn_mci_dementia,25,0.05
"('MCI', 'Unknown', 'MCI')",cn_mci_dementia,25,0.05
"('MCI', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,25,0.05
"('CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,24,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,23,0.04
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,23,0.04
"('MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,23,0.04
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,23,0.04
"('CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,22,0.04
"('Unknown', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,22,0.04
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,22,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'DEM')",cn_mci_dementia,21,0.04
"('Unknown', 'Unknown', 'MCI')",cn_mci_dementia,21,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,21,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,21,0.04
"('MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,21,0.04
"('CN', 'MCI', 'CN', 'CN')",cn_mci_dementia,21,0.04
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,20,0.04
"('Unknown', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,20,0.04
"('Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,20,0.04
"('Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,20,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,20,0.04
"('DEM', 'MCI', 'DEM')",cn_mci_dementia,20,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,19,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,19,0.03
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,19,0.03
"('MCI', 'MCI', 'MCI', 'CN')",cn_mci_dementia,19,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,19,0.03
"('Unknown', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,18,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,18,0.03
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,17,0.03
"('MCI', 'DEM', 'MCI')",cn_mci_dementia,17,0.03
"('MCI', 'MCI', 'CN', 'MCI')",cn_mci_dementia,16,0.03
"('CN', 'CN', 'CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,16,0.03
"('Unknown', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,16,0.03
"('CN', 'Unknown', 'CN', 'CN')",cn_mci_dementia,16,0.03
"('CN', 'CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,16,0.03
"('CN', 'MCI', 'MCI', 'CN')",cn_mci_dementia,16,0.03
"('CN', 'DEM', 'DEM')",cn_mci_dementia,16,0.03
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,16,0.03
"('MCI', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,16,0.03
"('CN', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,16,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,16,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,15,0.03
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,15,0.03
"('DEM', 'CN')",cn_mci_dementia,15,0.03
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,15,0.03
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,15,0.03
"('Unknown', 'CN', 'MCI')",cn_mci_dementia,15,0.03
"('CN', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,15,0.03
"('MCI', 'Unknown', 'CN')",cn_mci_dementia,15,0.03
