Responses,Coding,Count,Pct
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'Unknown', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'MCI', 'Unknown', 'Unknown', 'MCI', 'MCI', 'Unknown', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'MCI', 'Unknown', 'Unknown', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'MCI', 'Unknown', 'Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'Unknown', 'MCI', 'Unknown', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'CN', 'CN', 'Unknown', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'MCI', 'Unknown', 'Unknown', 'MCI', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'CN', 'Unknown', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'MCI', 'MCI', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'Unknown', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'DEM', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'CN', 'Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'Unknown', 'MCI', 'CN', 'Unknown', 'CN', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI', 'CN', 'Unknown', 'Unknown', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'MCI', 'MCI', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'DEM', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'Unknown', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'Unknown', 'Unknown', 'DEM', 'DEM', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'MCI', 'CN', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'Unknown', 'CN', 'MCI', 'MCI', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'Unknown', 'CN', 'Unknown', 'Unknown', 'MCI', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'MCI', 'CN', 'CN', 'Unknown', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'Unknown', 'CN', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'Unknown', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'MCI', 'CN', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'CN', 'CN', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'DEM', 'DEM', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('MCI', 'MCI', 'CN', 'CN', 'MCI', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'DEM', 'Unknown', 'Unknown', 'MCI', 'DEM', 'DEM', 'MCI', 'MCI', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'DEM', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'DEM', 'MCI', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'Unknown', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'DEM', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'MCI', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'CN', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'CN', 'CN', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'CN', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'CN', 'MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,1,0.0
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,1,0.0
"('MCI', 'CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,1,0.0
