Task,Visits,Experiment,N,Class 0,Class 1,AUC,AUC CI,AUC Rng,Acc,Acc CI,Acc Rng,Prec,Prec CI,Prec Rng,Rec,Rec CI,Rec Rng,F1,F1 CI,F1 Rng
MCI→AD,3,Exp 2,60,17,43,0.806,"(0.672, 0.923)",0.251,0.767,"(0.650, 0.867)",0.217,0.716,"(0.585, 0.844)",0.259,0.731,"(0.594, 0.854)",0.260,0.722,"(0.587, 0.837)",0.250
MCI→AD,3,Exp 3,59,17,42,0.825,"(0.692, 0.939)",0.247,0.780,"(0.678, 0.881)",0.203,0.732,"(0.605, 0.863)",0.258,0.740,"(0.609, 0.871)",0.262,0.736,"(0.605, 0.858)",0.253
MCI→AD,3,Exp 5,289,84,205,0.828,"(0.773, 0.876)",0.103,0.779,"(0.727, 0.824)",0.097,0.762,"(0.689, 0.832)",0.143,0.658,"(0.603, 0.710)",0.107,0.675,"(0.607, 0.733)",0.126
MCI→AD,3,Exp 6,289,84,205,0.820,"(0.767, 0.870)",0.103,0.779,"(0.733, 0.827)",0.094,0.731,"(0.674, 0.793)",0.119,0.724,"(0.667, 0.784)",0.117,0.728,"(0.672, 0.784)",0.112
MCI→AD,4,Exp 1,49,7,42,0.762,"(0.581, 0.918)",0.337,0.776,"(0.653, 0.898)",0.245,0.599,"(0.453, 0.768)",0.315,0.631,"(0.433, 0.838)",0.405,0.609,"(0.443, 0.776)",0.333
MCI→AD,4,Exp 2,49,7,42,0.765,"(0.605, 0.906)",0.301,0.796,"(0.673, 0.898)",0.225,0.583,"(0.420, 0.790)",0.370,0.583,"(0.423, 0.798)",0.375,0.583,"(0.424, 0.751)",0.327
MCI→AD,4,Exp 3,46,7,39,0.817,"(0.649, 0.956)",0.307,0.848,"(0.739, 0.957)",0.218,0.700,"(0.455, 0.947)",0.492,0.676,"(0.476, 0.886)",0.410,0.686,"(0.459, 0.866)",0.407
MCI→AD,4,Exp 5,226,36,190,0.832,"(0.755, 0.896)",0.141,0.881,"(0.836, 0.920)",0.084,0.806,"(0.699, 0.907)",0.208,0.693,"(0.612, 0.776)",0.164,0.729,"(0.635, 0.804)",0.169
MCI→AD,4,Exp 6,226,36,190,0.839,"(0.771, 0.902)",0.131,0.792,"(0.735, 0.845)",0.110,0.663,"(0.594, 0.733)",0.139,0.730,"(0.643, 0.812)",0.169,0.682,"(0.601, 0.755)",0.154
MCI→AD,5,Exp 1,28,2,26,0.808,"(0.519, 1.000)",0.481,0.929,"(0.821, 1.000)",0.179,0.731,"(0.460, 1.000)",0.540,0.731,"(0.446, 1.000)",0.554,0.731,"(0.462, 1.000)",0.538
MCI→AD,5,Exp 2,29,5,24,0.917,"(0.783, 1.000)",0.217,0.828,"(0.655, 0.966)",0.311,0.690,"(0.407, 0.963)",0.556,0.658,"(0.429, 0.946)",0.517,0.671,"(0.431, 0.879)",0.448
MCI→AD,5,Exp 3,27,5,22,0.909,"(0.743, 1.000)",0.257,0.889,"(0.778, 1.000)",0.222,0.940,"(0.407, 1.000)",0.593,0.700,"(0.500, 1.000)",0.500,0.754,"(0.449, 1.000)",0.551
MCI→AD,5,Exp 4,27,5,22,0.973,"(0.891, 1.000)",0.109,0.852,"(0.704, 0.963)",0.259,0.771,"(0.407, 0.980)",0.573,0.677,"(0.458, 0.957)",0.499,0.707,"(0.438, 0.918)",0.480
MCI→AD,5,Exp 5,135,25,110,0.891,"(0.825, 0.946)",0.121,0.859,"(0.800, 0.919)",0.119,0.770,"(0.661, 0.869)",0.208,0.744,"(0.638, 0.851)",0.213,0.755,"(0.652, 0.850)",0.198
MCI→AD,5,Exp 6,120,10,110,0.952,"(0.897, 0.991)",0.094,0.925,"(0.875, 0.967)",0.092,0.757,"(0.618, 0.889)",0.271,0.868,"(0.727, 0.978)",0.251,0.799,"(0.650, 0.908)",0.258
