count,NACCBMI,NACCMMSE,NACCGDS,CDRSUM,TOBAC30,BILLS,TAXES,SHOPPING,GAMES,STOVE,MEALPREP,EVENTS,PAYATTN,REMDATES,TRAVEL,hearing,vision,NACCLIVS,COMMUN,SEX,EDUC,ALCOHOL,NACCFAM,CVHATT,CVAFIB,DIABETES,HYPERCHO,HYPERTEN,B12DEF,DEPD,ANX,NACCTBI,SMOKYRS,RACE,HISPANIC,NACCNE4S
10445,0.16515097981110427,0.6272352914358659,0.06489810572385968,0.0,0.45357807715395076,0.09311419605340142,0.10937370352640817,0.06988818983792655,0.09570585151245753,0.06737548154733411,0.08941883790375893,0.06497511530541689,0.06376503529447522,0.06386085086659524,0.06591894808026928,0.12318387319823414,0.12388163243596466,0.002275714817600888,0.0,0.0,0.0,0.7101962661560556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7099090473910962,0.0,0.0,0.17213977979894687
,0.2481929144702491,0.44388246985931185,0.1741232064555673,0.0,0.3314121206699605,0.22319747376669677,0.23736856863465317,0.19478628559550765,0.21583115935594463,0.19148502649626697,0.21596658204548824,0.18974619343196766,0.1880891281899975,0.18797317364863156,0.19034610240948596,0.21608771889830997,0.21753797961443655,0.036341907395265605,0.0,,,,,,,,,,,,,,,,,
2292,0.18063069614116736,0.47960781462090357,0.09130896977755618,0.0,0.3655852655198205,0.12090847391894512,0.14585341699216045,0.08555448211861826,0.14069849580320784,0.0843866866118175,0.13096796310147096,0.07701875398210477,0.07543768525443918,0.07346325382974599,0.08234386686611818,0.1297224299842101,0.129217568353694,0.002209202470982576,0.0,0.0,0.0,0.6260907504363001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256544502617801,0.0,0.0,0.14092495636998253
,0.2531552720592075,0.43581337032473105,0.20354402682795764,0.0,0.34042553905535533,0.24887201483827193,0.2625752453919634,0.21274904059640354,0.251145199807063,0.21199440346561554,0.24965907039641275,0.20479834497926624,0.20457139759522536,0.20417937781355822,0.20898790203979273,0.22547988579956088,0.22412124501962596,0.03238336545029571,0.0,,,,,,,,,,,,,,,,,
