key,dataset,progression_type,seed,base_auc,base_avg_precision,accuracy,accuracy_lo,accuracy_hi,precision_macro,precision_macro_lo,precision_macro_hi,recall_macro,recall_macro_lo,recall_macro_hi,f1_macro,f1_macro_lo,f1_macro_hi,auc,auc_lo,auc_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
CN_MCI_seed654,CN_MCI,CN,654,0.9411440952910641,0.84924081621941,0.9024390243902439,0.8908639933856966,0.9131976023150061,0.8245630568546376,0.803978401310382,0.8440325562873269,0.883090007415647,0.8657047663666871,0.900761249435337,0.8487756550854552,0.8300576728803073,0.8661867748362673,0.9411440952910641,0.9268912448791091,0.9541959854957055,0.6832412523020258,0.6437294187294188,0.7199399826977146,0.9658848614072495,0.9577980169340464,0.9743866808964781
CN_MCI_seed114,CN_MCI,CN,114,0.93903411197627,0.8456075606370275,0.8908639933856966,0.8792889623811493,0.9036792062835882,0.8075371193691805,0.7885591779410684,0.8290856405636376,0.8823154199110121,0.8644474681034242,0.8999553229093751,0.8360151603857887,0.8179570489216402,0.8551712319035748,0.93903411197627,0.9257683127827444,0.9527790778975509,0.6461538461538462,0.6073135417578889,0.6873858215813041,0.9689203925845147,0.9607872157737535,0.9771990063644285
CN_MCI_seed25,CN_MCI,CN,25,0.9336091027067113,0.8355292039388339,0.8908639933856966,0.8780487804878049,0.9041029350971476,0.8075365462604923,0.7858176796566708,0.8284357760500312,0.877828374119392,0.860342410245199,0.896432309122144,0.8348241720723797,0.815411221362624,0.8540302875973904,0.9336091027067113,0.9191164368903053,0.9481189259176831,0.648695652173913,0.6080380596162631,0.6900796759966267,0.9663774403470716,0.9583783856485985,0.9748503314074267
CN_MCI_seed759,CN_MCI,CN,759,0.9435785131627734,0.8531541013283526,0.902852418354692,0.8908639933856966,0.9140140553947912,0.8244928148774302,0.804377514235178,0.8427078256671164,0.8914187059695959,0.873721335842902,0.9076033659612752,0.8513344761800153,0.8326256222479819,0.8678085852329781,0.9435785131627734,0.928885374451654,0.9562349191102565,0.6785714285714286,0.6399963436928702,0.7150338080507216,0.9704142011834319,0.9622088508966147,0.9776366093118114
CN_MCI_seed281,CN_MCI,CN,281,0.9393400074156468,0.8426292426479626,0.8937577511368334,0.8825961140967342,0.9053431169904919,0.811574772518099,0.7909623866173812,0.8310170442034094,0.8804898961809418,0.8641997647851354,0.8972102433739312,0.8386146491648203,0.8192109689057803,0.85565896069873,0.9393400074156468,0.924923727324547,0.95209960535308,0.656140350877193,0.6178227187125492,0.6946489197530864,0.9670091941590049,0.9593476328653961,0.974635725849973
CN_MCI_seed250,CN_MCI,CN,250,0.9372543566926215,0.8369691119096363,0.8916907813145928,0.8796920214964862,0.9045059942124845,0.8086626000348354,0.7883025161875656,0.8277303545317507,0.8819220430107527,0.8653302576156711,0.8993473265469907,0.8367877435650214,0.8187601924347144,0.8539506439644334,0.9372543566926215,0.9228390741878892,0.9517735288904644,0.648881239242685,0.607874283985702,0.6873917628774423,0.9684439608269858,0.9605356015179166,0.9764519036959456
CN_MCI_seed228,CN_MCI,CN,228,0.9388336577678903,0.8491222886559774,0.9115336916081025,0.8999586606035552,0.9226953286482017,0.8424869590725318,0.8215942482048412,0.8621235129947327,0.8733784065628476,0.8538996825658555,0.892581182103889,0.856624139466763,0.838089698666732,0.8741807604200627,0.9388336577678903,0.9240129308577202,0.9530834501891859,0.7268993839835729,0.6863338841281431,0.7660528257794724,0.9580745341614907,0.9493956716696262,0.967025530959729
CN_MCI_seed142,CN_MCI,CN,142,0.935171023359288,0.8329108711789102,0.8978916907813146,0.8867300537412154,0.9107069036792063,0.8174303683737646,0.798639090588889,0.8363466283090731,0.8848048757879126,0.8677400456289928,0.9025370524054468,0.8442065404816121,0.8272677286347164,0.8620292776260874,0.935171023359288,0.9206373779986535,0.9480229794961088,0.6666666666666666,0.6299456392337046,0.7038406621546281,0.9681940700808626,0.9598894857919641,0.9762443704819072
CN_MCI_seed754,CN_MCI,CN,754,0.9385683166481275,0.8455583956916334,0.9061595700702769,0.8933443571723853,0.9177449359239355,0.8306436469330882,0.8105605946506383,0.8505377166390753,0.8835633342602892,0.8648509476988713,0.9009158730607825,0.8530779717159718,0.8346181570830081,0.8703950011312551,0.9385683166481275,0.9231604960900927,0.9518136166572178,0.6962264150943396,0.6580846275426058,0.7356332462234687,0.965060878771837,0.9570224973863257,0.9732196511341008
CN_MCI_seed104,CN_MCI,CN,104,0.9505689191694475,0.8477322958478682,0.8987184787102108,0.8863166597767672,0.90988011575031,0.8183022069715551,0.7995370897927094,0.8372048710513403,0.8933855904708936,0.8771183651567093,0.9084263013791233,0.8472674465801365,0.8291182436747575,0.8642412708072887,0.9505689191694475,0.9392596036983908,0.9601766220144068,0.6637931034482759,0.6272400714939623,0.7010506091846297,0.9728113104948342,0.965386695511087,0.9796582690269064
