key,dataset,progression_type,variant,base_auc,base_avg_precision,accuracy,accuracy_lo,accuracy_hi,precision_macro,precision_macro_lo,precision_macro_hi,recall_macro,recall_macro_lo,recall_macro_hi,f1_macro,f1_macro_lo,f1_macro_hi,auc,auc_lo,auc_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
pooled_CN_variant0,pooled_CN,CN,0,0.9423502966258805,0.8524264200516456,0.8978916907813146,0.8863166597767672,0.9094770566349731,0.8172473867595819,0.7971220350203408,0.8368703568257772,0.8892919215795327,0.8717443917859174,0.9055722113718354,0.845347733547718,0.8265422568429099,0.8631081238891701,0.9423502966258805,0.928504238968685,0.9550588927949838,0.6637630662020906,0.6245570286938305,0.7035057802921365,0.9707317073170731,0.9623032677893321,0.9779692553787044
pooled_CN_variant1,pooled_CN,CN,1,0.9426990637745642,0.8529296940417413,0.895824720959074,0.8838362959900785,0.9073997519636213,0.8143257001267935,0.7943701455022377,0.8340370948744799,0.8889292500926955,0.8720485122432835,0.9041836389096575,0.843017219001471,0.8250043964554945,0.8599051247457877,0.9426990637745642,0.9283726544568903,0.955137080814625,0.657487091222031,0.6190943550370709,0.697636117221873,0.971164309031556,0.9632367555441027,0.9782016348773842
pooled_CN_variant2,pooled_CN,CN,2,0.9428369484612533,0.852284119186869,0.8962381149235221,0.8842496899545267,0.9078131459280695,0.8149188326639087,0.7946429383143835,0.8348876603651183,0.8882838570634037,0.8713824427684876,0.9038045315347328,0.8433001051687539,0.8251661950604868,0.8605119544268653,0.9428369484612533,0.9284161254898702,0.95492207489337,0.6591695501730104,0.6194458376613741,0.6995025286344151,0.9706681151548072,0.9626749339416542,0.9777058801116139
pooled_CN_variant3,pooled_CN,CN,3,0.94221588802373,0.8525517925500526,0.8978916907813146,0.8859032658123192,0.90988011575031,0.817192119522826,0.797344891410941,0.837383494511024,0.8910867398961809,0.8739804794266763,0.9067227315506908,0.8457973146481363,0.8269621486479632,0.8634145175050587,0.94221588802373,0.9278080383016961,0.9547215393660514,0.6626297577854672,0.6231479379795397,0.7029408193005181,0.9717544812601847,0.9638936534403374,0.9786769017522713
pooled_CN_variant4,pooled_CN,CN,4,0.9427627919911011,0.8516965488147386,0.8949979330301777,0.8830095080611823,0.9069863579991733,0.813222008328676,0.7923386689017453,0.8333404291121866,0.8857329903596589,0.8685925897495105,0.9024068053996578,0.8413119926279315,0.8230645395923593,0.8592143563637585,0.9427627919911011,0.9284941860442952,0.9549958509263585,0.6568457538994801,0.617733771129618,0.6966792845257903,0.9695982627578719,0.961325275964222,0.9769872455861635
pooled_CN_variant5,pooled_CN,CN,5,0.9425774008157212,0.8516662167532079,0.8978916907813146,0.8859032658123192,0.90988011575031,0.8171682511109861,0.7970054649059105,0.8372742594201809,0.8919841490545051,0.8756695786667807,0.9075554075913902,0.8460206502256887,0.8277564559521989,0.8631475625278897,0.9425774008157212,0.9283779043173522,0.9551661048724697,0.6620689655172414,0.6227022977022977,0.7017887317405298,0.9722675367047309,0.9646397856257298,0.9792236194641881
pooled_CN_variant6,pooled_CN,CN,6,0.9416261123470523,0.8527351484949218,0.8937577511368334,0.881769326167838,0.9061595700702769,0.8114847336792206,0.7918113019811533,0.8318421538750594,0.8867717602892102,0.8701534436648173,0.9024648982252156,0.8402484247323889,0.8218184477242647,0.8579650478614387,0.9416261123470523,0.9271048019824644,0.9544517375656381,0.6523972602739726,0.611864406779661,0.6932237317009787,0.9705722070844687,0.9623329741379311,0.9777928074915008
pooled_CN_variant7,pooled_CN,CN,7,0.9419157860585835,0.8530858896808369,0.8983050847457628,0.885892930963208,0.9102935097147582,0.8177739891648178,0.7982382419553764,0.837947504916221,0.8913387560252132,0.8747379887565482,0.9069725726421791,0.8463100401042172,0.8275477884238649,0.8636201620044538,0.9419157860585835,0.9276031808273256,0.9543914257307166,0.6637781629116117,0.6247572123126945,0.7046264782728273,0.9717698154180239,0.9640204712545138,0.9787463187542108
pooled_CN_variant8,pooled_CN,CN,8,0.9421938728216537,0.8526915772229613,0.8978916907813146,0.8859032658123192,0.9102935097147582,0.8172184918912402,0.7965380321568188,0.8375388176605014,0.8901893307378569,0.873437712785919,0.9056559772166535,0.8455730109635401,0.8277075426723958,0.8632135302532085,0.9421938728216537,0.9277641999014681,0.9547072118412749,0.6631944444444444,0.6235843408966005,0.7017093694493783,0.9712425393380358,0.9633273577966142,0.978237805743483
pooled_CN_variant9,pooled_CN,CN,9,0.9431625417130145,0.8530759701751138,0.895824720959074,0.8834125671765193,0.9082265398925176,0.8143416309979725,0.7942721370700221,0.8339370427183266,0.8880318409343715,0.8712372454513386,0.9038366300785542,0.8427898541754351,0.8245712021126124,0.8605077163854266,0.9431625417130145,0.9286810257617755,0.9555945286760192,0.6580310880829016,0.6194764226342712,0.6972948554421768,0.9706521739130435,0.9626734062384165,0.9776813052103331
