dataset,metric,mean,std,ci_lower,ci_upper,n_runs
pooled_CN,base_auc,0.9424340702632554,0.00046254555478744013,0.9421031851063122,0.9427649554201987,10
pooled_CN,base_avg_precision,0.8525143376972089,0.0005104481248969165,0.8521491851059241,0.8528794902884936,10
pooled_CN,accuracy,0.8966515088879703,0.0015467785807250793,0.8955450101482411,0.8977580076276995,10
pooled_CN,precision_macro,0.8154893144246023,0.002139391245558886,0.8139588861225185,0.817019742726686,10
pooled_CN,recall_macro,0.8891640596032628,0.002029055101049886,0.8877125610241318,0.8906155581823939,10
pooled_CN,f1_macro,0.843971634519528,0.0021383332181798636,0.8424419630846365,0.8455013059544194,10
pooled_MCI_AD,base_auc,0.8957872859418557,0.0014652423680965863,0.8947391146949171,0.8968354571887944,10
pooled_MCI_AD,base_avg_precision,0.9146112135820358,0.0009185042010099923,0.9139541552586802,0.9152682719053914,10
pooled_MCI_AD,accuracy,0.8102292768959437,0.004415046056559339,0.8070709432092055,0.8133876105826819,10
pooled_MCI_AD,precision_macro,0.8115570730129427,0.004781588696489453,0.8081365305173976,0.8149776155084877,10
pooled_MCI_AD,recall_macro,0.8107246863799282,0.004474608888551851,0.807523744009985,0.8139256287498715,10
pooled_MCI_AD,f1_macro,0.8101590312916842,0.0043877161691013595,0.8070202482286783,0.8132978143546901,10
