trial,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,min_child_weight,gamma,reg_alpha,reg_lambda
6,0.9388393355007748,442,7,0.06712200281066542,0.87907159591271,0.6568735939889074,0.3526197735028971,0.5844282144820396,10,4.958300380666544,0.01986119886674043,0.48994700681965064
1,0.9314908274885653,594,3,0.10716142881749571,0.4305797834483238,0.7643949790479758,0.3647252420816549,0.5127003748283714,5,3.807622234162014,0.010507888821730933,0.12945679113847083
4,0.937996399828737,922,8,0.06431915513662911,0.8484061453707133,0.580764522496448,0.39400124663121494,0.2423716903357785,4,3.847728529193427,0.015957994316078018,0.004454877405462656
0,0.9412234627371608,403,5,0.00534539614609599,0.550210590429128,0.8349349592874036,0.4809210768301279,0.5247539172390602,6,0.45583083235714805,0.0028401627224311516,0.0037779097942399
9,0.9336994441842688,736,8,0.16332082412167714,0.7166684883773079,0.8479164813926379,0.8581291032932038,0.6749422195764962,7,3.1815816800601833,0.13560582178126857,0.0002601676390516051
8,0.935207263761512,842,3,0.05268864624572012,0.6918467398092618,0.6349085747189577,0.8452102327252028,0.4677113656706053,5,0.41278390039577895,0.10654919412897126,0.0071699765743154925
10,0.9361269455069067,243,4,0.07944088521776552,0.3928534082650572,0.6205966839678557,0.9842241211158043,0.778072889700286,8,0.3581499886752465,0.002083685880060151,0.29523953376968515
2,0.9335451557519072,795,9,0.10062792360944116,0.5905677297205093,0.2690837029423139,0.9593274898497375,0.9755695064911001,7,2.1804230439901944,1.7218343594326075,0.020654588814341564
5,0.940774765167222,883,5,0.014663735872336343,0.5578415928132711,0.596372515427365,0.30794892404426205,0.2658827840026195,6,4.018383961590874,0.10782328055883643,0.3418992613083771
7,0.9242696729987759,836,6,0.10222017758922719,0.36594049114829874,0.2797378600340585,0.9561412354341612,0.6250617931132002,7,1.9011201740971495,0.008748544121488748,0.0005888392892730913
16,0.938703122648257,139,9,0.009456400346256097,0.20128694255309193,0.977777821468182,0.3982862472726149,0.29421627999982264,9,2.5889391381725884,0.012476170909773017,1.4417781431949876
15,0.9401550206394527,394,10,0.03304996253009335,0.9815283131128695,0.41199995738643125,0.3821101196217342,0.8178647467820497,3,4.0836347294505595,0.06439129822383514,5.131045639319191
3,0.9322649319369886,845,10,0.07544299261121501,0.3393499306320649,0.9213270798834179,0.9136875710491786,0.48722856593342395,3,0.8324245450934037,0.0025477717332874437,0.0623971857044728
11,0.9358363669937992,837,5,0.02843877043267106,0.48429223819267203,0.4967621825563302,0.5229421023921044,0.957476390970568,5,1.1774976596704678,0.0008510130120335797,0.020980524182412603
20,0.938014740489255,457,5,0.005076246047887816,0.5506342162560839,0.407786137069172,0.20342740804619788,0.3889273994706448,2,1.0672535709704971,0.00020979319945127744,3.875096431601671
18,0.94170650338699,785,4,0.010722875113399435,0.6474474135087201,0.34631352311228547,0.29634875993978577,0.9603252901357469,8,0.7010243181299508,0.004992074670485912,0.0004577372820080238
12,0.9386998832371811,601,8,0.02190411846503884,0.9922364414462248,0.41430263837514547,0.8432954169221001,0.7967166524030385,3,2.182253489699421,0.13634398004129264,0.01062961632775446
14,0.9322316872720972,946,8,0.09379476036282557,0.760145581926472,0.40423700911701355,0.8110617068348382,0.7184476133749333,7,0.39594439131782677,2.486973433313962,0.01243859889831189
19,0.9383459890570105,114,10,0.00601776947783446,0.9972790712448237,0.9885577002351786,0.6323024858000339,0.8982352950624477,1,1.4130628493463362,0.00011522764321419896,4.524642913584509
13,0.9376512073913341,908,6,0.018277090858451892,0.7595001024303936,0.5263928078159484,0.9720234487796614,0.3294688548750051,6,0.38538091100617844,0.06046642203769441,0.0604172799728172
23,0.9409690964357859,578,5,0.0052653101010982075,0.5755438494019383,0.7810818966583203,0.21199441027656535,0.3616306102654751,1,1.578785507225946,0.00017417623507836883,0.0012607246721688483
21,0.9410812219083626,610,5,0.005867095884746304,0.5792142632377871,0.9600053561900632,0.5599623463632387,0.3841368653143178,1,1.259199720564911,0.00037522876130658415,0.03762264035583316
22,0.9419114316207807,605,5,0.00631476697388941,0.539415886958456,0.43761534876646413,0.5721672111247048,0.3553299628094204,1,1.2135975182184622,0.0002754999863504888,0.0012627143586794512
25,0.9411495146216309,623,4,0.00559750563868676,0.6924555008745994,0.7845084721427662,0.57995052385516,0.821718846623978,9,0.022429595776374378,0.00015179080342731164,0.0009160626843151929
28,0.9416985373996374,624,4,0.009801254364254856,0.6515469108547465,0.7392636316456184,0.5867073396361553,0.3602774533107792,9,1.5960342713288918,0.0005128687085514371,0.0018847541001962118
29,0.9416744369743875,620,4,0.009086090629476226,0.6336196603928774,0.7362170826035144,0.5164825548751445,0.8974907380169488,9,1.5639774492268887,0.0008256600926690018,0.0013061377760275458
24,0.9400628529238702,997,5,0.012623774072143781,0.6575395724441078,0.7609765540297819,0.6216979522271391,0.32741705373387014,6,4.707369804738052,1.3885442766571845,0.0019353219236142285
30,0.9413809582282326,660,4,0.008891376036015381,0.5831324119761995,0.7677352692967576,0.21595341861909245,0.3783266137724245,10,1.6363995538324199,0.0005230874373767454,0.0016859087847149977
27,0.9413927480564942,654,4,0.005196144233568428,0.6533967018964649,0.8182326626002823,0.5776974764424809,0.8884089325224473,9,1.486674606037968,0.0005297355413366469,0.001136242746021463
32,0.9395685306910092,706,4,0.010298527450117674,0.6557473979798276,0.20653924399306742,0.6712633299612395,0.20516678204144084,10,0.030934725097268356,0.0020456747792865397,0.002201497023452366
