trial,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,min_child_weight,gamma,reg_alpha,reg_lambda
8,0.9408135175614799,465,5,0.13327842188744307,0.6971569499365832,0.252979294457597,0.2854871646785842,0.6124476262479692,3,4.96699070707839,2.828473869600472,0.0010183557543513061
4,0.9413574255348207,295,9,0.06333104120691292,0.5215160167835772,0.6813811404314176,0.5465209806484884,0.7320473937711606,6,4.722331699726259,0.0011603790771300899,0.07118120973281855
3,0.9245883364962466,332,7,0.14717394495552016,0.21169987923130523,0.41686214875030886,0.7083720019774624,0.550884606963768,1,2.8887739266011545,0.0030978525792401397,0.5901063632215575
0,0.9403005572350608,662,3,0.04943683387004284,0.7952720666838106,0.7475241402885215,0.4188066427357665,0.5352885379221818,2,1.2589226465741925,0.02826011412146505,0.25632638249311057
2,0.9397873474823377,619,10,0.0751705086947286,0.9847908219972036,0.9444351162810934,0.958147207315537,0.24837816162588597,8,2.998011018684698,0.23041341723897038,0.0007114602191559068
1,0.9423181801739986,400,6,0.011044796784196707,0.37659908825429755,0.4120838432909367,0.2651251199109465,0.633275893432599,3,3.1176907779512453,3.8246610915852024,1.3152341913423529
7,0.9227356761831256,829,4,0.2321436049582287,0.35288392775450605,0.2819055727221219,0.661962458427951,0.9507407890423821,9,4.863946514955049,0.00012875542858118113,0.008967125252881417
5,0.9440085224062988,407,9,0.020051308221244853,0.6598014235707235,0.6400490606679979,0.5728129643066914,0.2935613356066051,7,4.419033272718139,1.2193516956959234,1.12022118636664
12,0.9394191712981165,224,10,0.06511528363192018,0.23894354181036298,0.29200835674778086,0.8619935309501014,0.25916439969963445,8,0.8163173626445325,0.10125743210996936,0.0025997108583960143
14,0.9315970277818948,237,6,0.14648720595141373,0.4027135377491556,0.489594087185903,0.6818643148092209,0.9075041773563817,5,4.48797485475329,0.14818832537122734,0.022661749747086398
17,0.9371924717171967,281,9,0.18754559093371403,0.890170803050692,0.36304179640566636,0.2483825251612733,0.825319083876269,8,1.6758777429848115,0.0024544306548234082,0.00755986527351801
9,0.944011820260358,663,8,0.009599288245998207,0.7653276300475325,0.3905016369439702,0.23348485911041117,0.9356401035840108,9,4.919066900094575,4.352602792079004,0.0001458417191662948
6,0.9421951900464585,587,6,0.023401066058593854,0.49562749232363806,0.96848302127988,0.8940653704427471,0.32262246603101935,5,1.2404834530124358,0.0015202088265439367,0.021858153318243246
10,0.9338898128098378,808,5,0.1461563561410554,0.6260284638297668,0.7698256681908818,0.743405031003,0.6415347084196585,3,1.131910604388577,0.13489094340178234,0.006521725767467097
